English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Mon 16 Nov 2015 13:27:56
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,-0.001,0,Velocidad 1
0.00167,-0.001,0,Velocidad 1
0.0025,0.002,0,Velocidad 1
0.00333,0.003,0,Velocidad 1
0.00417,0.008,3,Velocidad 1
0.005,0.012,7,Velocidad 1
0.00583,0.016,11,Velocidad 1
0.00667,0.021,16,Velocidad 1
0.0075,0.024,24,Velocidad 1
0.00833,0.029,33,Velocidad 1
0.00917,0.033,45,Velocidad 1
0.01,0.038,58,Velocidad 1
0.01083,0.041,72,Velocidad 1
0.01167,0.046,87,Velocidad 1
0.0125,0.05,103,Velocidad 1
0.01333,0.054,119,Velocidad 1
0.01417,0.058,135,Velocidad 1
0.015,0.064,152,Velocidad 1
0.01583,0.067,170,Velocidad 1
0.01667,0.072,187,Velocidad 1
0.0175,0.075,204,Velocidad 1
0.01833,0.078,222,Velocidad 1
0.01917,0.083,239,Velocidad 1
0.02,0.089,257,Velocidad 1
0.02083,0.09,274,Velocidad 1
0.02167,0.096,292,Velocidad 1
0.0225,0.1,310,Velocidad 1
0.02333,0.104,328,Velocidad 1
0.02417,0.109,346,Velocidad 1
0.025,0.112,365,Velocidad 1
0.02583,0.117,383,Velocidad 1
0.02667,0.12,402,Velocidad 1
0.0275,0.126,422,Velocidad 1
0.02833,0.129,442,Velocidad 1
0.02917,0.134,462,Velocidad 1
0.03,0.138,481,Velocidad 1
0.03083,0.142,501,Velocidad 1
0.03167,0.147,521,Velocidad 1
0.0325,0.151,541,Velocidad 1
0.03333,0.155,562,Velocidad 1
0.03417,0.16,582,Velocidad 1
0.035,0.163,603,Velocidad 1
0.03583,0.168,623,Velocidad 1
0.03667,0.17,644,Velocidad 1
0.0375,0.176,665,Velocidad 1
0.03833,0.179,686,Velocidad 1
0.03917,0.184,707,Velocidad 1
0.04,0.188,730,Velocidad 1
0.04083,0.192,753,Velocidad 1
0.04167,0.196,775,Velocidad 1
0.0425,0.199,798,Velocidad 1
0.04333,0.205,820,Velocidad 1
0.04417,0.209,842,Velocidad 1
0.045,0.213,865,Velocidad 1
0.04583,0.217,888,Velocidad 1
0.04667,0.222,910,Velocidad 1
0.0475,0.226,934,Velocidad 1
0.04833,0.23,957,Velocidad 1
0.04917,0.234,979,Velocidad 1
0.05,0.238,1002,Velocidad 1
0.05083,0.24,1024,Velocidad 1
0.05167,0.246,1047,Velocidad 1
0.0525,0.251,1070,Velocidad 1
0.05333,0.255,1093,Velocidad 1
0.05417,0.258,1115,Velocidad 1
0.055,0.263,1138,Velocidad 1
0.05583,0.267,1161,Velocidad 1
0.05667,0.271,1183,Velocidad 1
0.0575,0.274,1205,Velocidad 1
0.05833,0.281,1228,Velocidad 1
0.05917,0.284,1250,Velocidad 1
0.06,0.289,1273,Velocidad 1
0.06083,0.293,1296,Velocidad 1
0.06167,0.295,1318,Velocidad 1
0.0625,0.301,1341,Velocidad 1
0.06333,0.306,1364,Velocidad 1
0.06417,0.308,1386,Velocidad 1
0.065,0.313,1408,Velocidad 1
0.06583,0.316,1431,Velocidad 1
0.06667,0.322,1453,Velocidad 1
0.0675,0.325,1475,Velocidad 1
0.06833,0.33,1499,Velocidad 1
0.06917,0.333,1521,Velocidad 1
0.07,0.339,1544,Velocidad 1
0.07083,0.341,1567,Velocidad 1
0.07167,0.347,1594,Velocidad 1
0.0725,0.352,1623,Velocidad 1
0.07333,0.355,1650,Velocidad 1
0.07417,0.358,1675,Velocidad 1
0.075,0.362,1699,Velocidad 1
0.07583,0.366,1723,Velocidad 1
0.07667,0.371,1746,Velocidad 1
0.0775,0.376,1769,Velocidad 1
0.07833,0.38,1791,Velocidad 1
0.07917,0.383,1813,Velocidad 1
0.08,0.389,1836,Velocidad 1
0.08083,0.392,1858,Velocidad 1
0.08167,0.397,1881,Velocidad 1
0.0825,0.4,1903,Velocidad 1
0.08333,0.403,1924,Velocidad 1
0.08417,0.41,1946,Velocidad 1
0.085,0.414,1968,Velocidad 1
0.08583,0.418,1990,Velocidad 1
0.08667,0.421,2012,Velocidad 1
0.0875,0.427,2034,Velocidad 1
0.08833,0.43,2056,Velocidad 1
0.08917,0.434,2077,Velocidad 1
0.09,0.437,2099,Velocidad 1
0.09083,0.443,2120,Velocidad 1
0.09167,0.448,2142,Velocidad 1
0.0925,0.452,2163,Velocidad 1
0.09333,0.455,2184,Velocidad 1
0.09417,0.46,2206,Velocidad 1
0.095,0.464,2227,Velocidad 1
0.09583,0.466,2249,Velocidad 1
0.09667,0.472,2270,Velocidad 1
0.0975,0.476,2291,Velocidad 1
0.09833,0.482,2311,Velocidad 1
0.09917,0.485,2333,Velocidad 1
0.1,0.49,2354,Velocidad 1
0.10083,0.492,2375,Velocidad 1
0.10167,0.497,2396,Velocidad 1
0.1025,0.501,2417,Velocidad 1
0.10333,0.505,2438,Velocidad 1
0.10417,0.508,2459,Velocidad 1
0.105,0.513,2480,Velocidad 1
0.10583,0.518,2501,Velocidad 1
0.10667,0.522,2522,Velocidad 1
0.1075,0.524,2543,Velocidad 1
0.10833,0.528,2563,Velocidad 1
0.10917,0.534,2583,Velocidad 1
0.11,0.539,2603,Velocidad 1
0.11083,0.543,2625,Velocidad 1
0.11167,0.547,2645,Velocidad 1
0.1125,0.551,2666,Velocidad 1
0.11333,0.555,2686,Velocidad 1
0.11417,0.56,2707,Velocidad 1
0.115,0.564,2727,Velocidad 1
0.11583,0.567,2748,Velocidad 1
0.11667,0.572,2767,Velocidad 1
0.1175,0.576,2787,Velocidad 1
0.11833,0.58,2807,Velocidad 1
0.11917,0.584,2827,Velocidad 1
0.12,0.589,2847,Velocidad 1
0.12083,0.593,2867,Velocidad 1
0.12167,0.597,2887,Velocidad 1
0.1225,0.602,2906,Velocidad 1
0.12333,0.605,2925,Velocidad 1
0.12417,0.61,2945,Velocidad 1
0.125,0.613,2964,Velocidad 1
0.12583,0.616,2983,Velocidad 1
0.12667,0.622,3003,Velocidad 1
0.1275,0.626,3023,Velocidad 1
0.12833,0.63,3043,Velocidad 1
0.12917,0.635,3062,Velocidad 1
0.13,0.638,3082,Velocidad 1
0.13083,0.644,3100,Velocidad 1
0.13167,0.647,3119,Velocidad 1
0.1325,0.651,3137,Velocidad 1
0.13333,0.656,3156,Velocidad 1
0.13417,0.66,3175,Velocidad 1
0.135,0.663,3194,Velocidad 1
0.13583,0.667,3213,Velocidad 1
0.13667,0.673,3232,Velocidad 1
0.1375,0.676,3250,Velocidad 1
0.13833,0.68,3268,Velocidad 1
0.13917,0.683,3285,Velocidad 1
0.14,0.688,3303,Velocidad 1
0.14083,0.693,3322,Velocidad 1
0.14167,0.697,3341,Velocidad 1
0.1425,0.703,3358,Velocidad 1
0.14333,0.706,3376,Velocidad 1
0.14417,0.709,3394,Velocidad 1
0.145,0.714,3412,Velocidad 1
0.14583,0.718,3429,Velocidad 1
0.14667,0.721,3447,Velocidad 1
0.1475,0.727,3464,Velocidad 1
0.14833,0.731,3482,Velocidad 1
0.14917,0.735,3499,Velocidad 1
0.15,0.738,3516,Velocidad 1
0.15083,0.741,3533,Velocidad 1
0.15167,0.745,3550,Velocidad 1
0.1525,0.751,3567,Velocidad 1
0.15333,0.753,3584,Velocidad 1
0.15417,0.759,3601,Velocidad 1
0.155,0.764,3619,Velocidad 1
0.15583,0.768,3635,Velocidad 1
0.15667,0.772,3652,Velocidad 1
0.1575,0.776,3669,Velocidad 1
0.15833,0.781,3685,Velocidad 1
0.15917,0.785,3701,Velocidad 1
0.16,0.789,3717,Velocidad 1
0.16083,0.793,3733,Velocidad 1
0.16167,0.797,3749,Velocidad 1
0.1625,0.801,3765,Velocidad 1
0.16333,0.805,3781,Velocidad 1
0.16417,0.81,3797,Velocidad 1
0.165,0.814,3813,Velocidad 1
