English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 16 Dec 2015 15:04:45
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,-0.002,0,Velocidad 1
0.00333,-0.003,0,Velocidad 1
0.005,0,0,Velocidad 1
0.00667,0,0,Velocidad 1
0.00833,0,0,Velocidad 1
0.01,0.001,0,Velocidad 1
0.01167,0.001,0,Velocidad 1
0.01333,0.003,0,Velocidad 1
0.015,0.003,0,Velocidad 1
0.01667,0.006,0,Velocidad 1
0.01833,0.006,0,Velocidad 1
0.02,0.005,0,Velocidad 1
0.02167,0.006,0,Velocidad 1
0.02333,0.009,0,Velocidad 1
0.025,0.009,0,Velocidad 1
0.02667,0.008,0,Velocidad 1
0.02833,0.009,0,Velocidad 1
0.03,0.013,0,Velocidad 1
0.03167,0.012,0,Velocidad 1
0.03333,0.014,1,Velocidad 1
0.035,0.014,1,Velocidad 1
0.03667,0.015,1,Velocidad 1
0.03833,0.014,1,Velocidad 1
0.04,0.017,1,Velocidad 1
0.04167,0.016,1,Velocidad 1
0.04333,0.016,1,Velocidad 1
0.045,0.02,1,Velocidad 1
0.04667,0.02,1,Velocidad 1
0.04833,0.019,1,Velocidad 1
0.05,0.021,1,Velocidad 1
0.05167,0.022,1,Velocidad 1
0.05333,0.024,1,Velocidad 1
0.055,0.023,1,Velocidad 1
0.05667,0.026,1,Velocidad 1
0.05833,0.027,1,Velocidad 1
0.06,0.027,0,Velocidad 1
0.06167,0.025,1,Velocidad 1
0.06333,0.029,0,Velocidad 1
0.065,0.028,1,Velocidad 1
0.06667,0.03,1,Velocidad 1
0.06833,0.031,1,Velocidad 1
0.07,0.032,1,Velocidad 1
0.07167,0.033,1,Velocidad 1
0.07333,0.033,1,Velocidad 1
0.075,0.035,1,Velocidad 1
0.07667,0.036,1,Velocidad 1
0.07833,0.035,1,Velocidad 1
0.08,0.037,1,Velocidad 1
0.08167,0.037,1,Velocidad 1
0.08333,0.039,1,Velocidad 1
0.085,0.04,1,Velocidad 1
0.08667,0.041,1,Velocidad 1
0.08833,0.04,1,Velocidad 1
0.09,0.041,1,Velocidad 1
0.09167,0.043,0,Velocidad 1
0.09333,0.044,1,Velocidad 1
0.095,0.044,1,Velocidad 1
0.09667,0.046,1,Velocidad 1
0.09833,0.045,1,Velocidad 1
0.1,0.045,1,Velocidad 1
0.10167,0.047,1,Velocidad 1
0.10333,0.049,1,Velocidad 1
0.105,0.05,0,Velocidad 1
0.10667,0.051,1,Velocidad 1
0.10833,0.05,1,Velocidad 1
0.11,0.051,1,Velocidad 1
0.11167,0.052,1,Velocidad 1
0.11333,0.054,1,Velocidad 1
0.115,0.055,1,Velocidad 1
0.11667,0.053,1,Velocidad 1
0.11833,0.056,1,Velocidad 1
0.12,0.057,1,Velocidad 1
0.12167,0.057,1,Velocidad 1
0.12333,0.058,1,Velocidad 1
0.125,0.058,1,Velocidad 1
0.12667,0.061,1,Velocidad 1
0.12833,0.062,1,Velocidad 1
0.13,0.063,1,Velocidad 1
0.13167,0.063,1,Velocidad 1
0.13333,0.061,1,Velocidad 1
0.135,0.064,1,Velocidad 1
0.13667,0.063,1,Velocidad 1
0.13833,0.065,1,Velocidad 1
0.14,0.066,1,Velocidad 1
0.14167,0.069,1,Velocidad 1
0.14333,0.067,1,Velocidad 1
0.145,0.068,1,Velocidad 1
0.14667,0.069,1,Velocidad 1
0.14833,0.072,1,Velocidad 1
0.15,0.071,0,Velocidad 1
0.15167,0.073,1,Velocidad 1
0.15333,0.074,0,Velocidad 1
0.155,0.075,1,Velocidad 1
0.15667,0.076,1,Velocidad 1
0.15833,0.075,1,Velocidad 1
0.16,0.078,1,Velocidad 1
0.16167,0.076,1,Velocidad 1
0.16333,0.078,1,Velocidad 1
0.165,0.078,1,Velocidad 1
0.16667,0.08,1,Velocidad 1
0.16833,0.08,1,Velocidad 1
0.17,0.082,1,Velocidad 1
0.17167,0.082,1,Velocidad 1
0.17333,0.085,1,Velocidad 1
0.175,0.085,1,Velocidad 1
0.17667,0.086,1,Velocidad 1
0.17833,0.085,1,Velocidad 1
0.18,0.086,1,Velocidad 1
0.18167,0.086,1,Velocidad 1
0.18333,0.089,1,Velocidad 1
0.185,0.09,1,Velocidad 1
0.18667,0.091,1,Velocidad 1
0.18833,0.089,1,Velocidad 1
0.19,0.091,1,Velocidad 1
0.19167,0.095,1,Velocidad 1
0.19333,0.093,1,Velocidad 1
0.195,0.094,1,Velocidad 1
0.19667,0.097,1,Velocidad 1
0.19833,0.097,1,Velocidad 1
0.2,0.095,1,Velocidad 1
0.20167,0.099,1,Velocidad 1
0.20333,0.097,1,Velocidad 1
0.205,0.099,1,Velocidad 1
0.20667,0.098,1,Velocidad 1
0.20833,0.105,1,Velocidad 1
0.21,0.105,1,Velocidad 1
0.21167,0.098,0,Velocidad 1
0.21333,0.106,0,Velocidad 1
0.215,0.105,1,Velocidad 1
0.21667,0.106,1,Velocidad 1
0.21833,0.099,1,Velocidad 1
0.22,0.107,1,Velocidad 1
0.22167,0.106,1,Velocidad 1
0.22333,0.107,1,Velocidad 1
0.225,0.11,1,Velocidad 1
0.22667,0.109,1,Velocidad 1
0.22833,0.109,1,Velocidad 1
0.23,0.111,1,Velocidad 1
0.23167,0.114,1,Velocidad 1
0.23333,0.113,1,Velocidad 1
0.235,0.112,1,Velocidad 1
0.23667,0.116,2,Velocidad 1
0.23833,0.117,2,Velocidad 1
0.24,0.117,2,Velocidad 1
0.24167,0.117,2,Velocidad 1
0.24333,0.118,2,Velocidad 1
0.245,0.12,2,Velocidad 1
0.24667,0.121,2,Velocidad 1
0.24833,0.122,2,Velocidad 1
0.25,0.121,2,Velocidad 1
0.25167,0.121,2,Velocidad 1
0.25333,0.122,2,Velocidad 1
0.255,0.125,2,Velocidad 1
0.25667,0.125,2,Velocidad 1
0.25833,0.128,2,Velocidad 1
0.26,0.126,2,Velocidad 1
0.26167,0.128,2,Velocidad 1
0.26333,0.129,3,Velocidad 1
0.265,0.128,3,Velocidad 1
0.26667,0.129,3,Velocidad 1
0.26833,0.132,3,Velocidad 1
0.27,0.131,3,Velocidad 1
0.27167,0.132,3,Velocidad 1
0.27333,0.134,3,Velocidad 1
0.275,0.135,4,Velocidad 1
0.27667,0.134,4,Velocidad 1
0.27833,0.137,4,Velocidad 1
0.28,0.137,4,Velocidad 1
0.28167,0.137,4,Velocidad 1
0.28333,0.138,5,Velocidad 1
0.285,0.14,5,Velocidad 1
0.28667,0.139,5,Velocidad 1
0.28833,0.142,5,Velocidad 1
