English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 16 Dec 2015 16:01:46
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,-0.001,0,Velocidad 1
0.00333,-0.002,0,Velocidad 1
0.005,-0.001,0,Velocidad 1
0.00667,0,0,Velocidad 1
0.00833,0.001,1,Velocidad 1
0.01,0.003,1,Velocidad 1
0.01167,0.004,1,Velocidad 1
0.01333,0.005,1,Velocidad 1
0.015,0.003,1,Velocidad 1
0.01667,0.006,1,Velocidad 1
0.01833,0.008,1,Velocidad 1
0.02,0.007,1,Velocidad 1
0.02167,0.01,1,Velocidad 1
0.02333,0.009,1,Velocidad 1
0.025,0.009,1,Velocidad 1
0.02667,0.012,1,Velocidad 1
0.02833,0.01,2,Velocidad 1
0.03,0.014,2,Velocidad 1
0.03167,0.014,2,Velocidad 1
0.03333,0.014,2,Velocidad 1
0.035,0.014,2,Velocidad 1
0.03667,0.017,2,Velocidad 1
0.03833,0.016,2,Velocidad 1
0.04,0.017,2,Velocidad 1
0.04167,0.017,2,Velocidad 1
0.04333,0.02,2,Velocidad 1
0.045,0.019,2,Velocidad 1
0.04667,0.02,2,Velocidad 1
0.04833,0.021,2,Velocidad 1
0.05,0.023,2,Velocidad 1
0.05167,0.025,2,Velocidad 1
0.05333,0.024,2,Velocidad 1
0.055,0.026,2,Velocidad 1
0.05667,0.026,2,Velocidad 1
0.05833,0.026,2,Velocidad 1
0.06,0.027,2,Velocidad 1
0.06167,0.029,2,Velocidad 1
0.06333,0.026,2,Velocidad 1
0.065,0.03,2,Velocidad 1
0.06667,0.03,3,Velocidad 1
0.06833,0.032,3,Velocidad 1
0.07,0.033,3,Velocidad 1
0.07167,0.034,3,Velocidad 1
0.07333,0.033,3,Velocidad 1
0.075,0.034,3,Velocidad 1
0.07667,0.035,3,Velocidad 1
0.07833,0.037,3,Velocidad 1
0.08,0.039,3,Velocidad 1
0.08167,0.037,3,Velocidad 1
0.08333,0.04,3,Velocidad 1
0.085,0.041,3,Velocidad 1
0.08667,0.041,4,Velocidad 1
0.08833,0.04,4,Velocidad 1
0.09,0.042,4,Velocidad 1
0.09167,0.044,4,Velocidad 1
0.09333,0.045,5,Velocidad 1
0.095,0.044,5,Velocidad 1
0.09667,0.047,6,Velocidad 1
0.09833,0.045,6,Velocidad 1
0.1,0.048,6,Velocidad 1
0.10167,0.049,6,Velocidad 1
0.10333,0.05,7,Velocidad 1
0.105,0.05,7,Velocidad 1
0.10667,0.052,8,Velocidad 1
0.10833,0.051,8,Velocidad 1
0.11,0.054,9,Velocidad 1
0.11167,0.056,9,Velocidad 1
0.11333,0.055,9,Velocidad 1
0.115,0.056,10,Velocidad 1
0.11667,0.056,10,Velocidad 1
0.11833,0.057,10,Velocidad 1
0.12,0.057,10,Velocidad 1
0.12167,0.058,10,Velocidad 1
0.12333,0.06,10,Velocidad 1
0.125,0.061,10,Velocidad 1
0.12667,0.06,10,Velocidad 1
0.12833,0.06,10,Velocidad 1
0.13,0.062,10,Velocidad 1
0.13167,0.063,10,Velocidad 1
0.13333,0.064,10,Velocidad 1
0.135,0.065,10,Velocidad 1
0.13667,0.066,10,Velocidad 1
0.13833,0.068,10,Velocidad 1
0.14,0.067,10,Velocidad 1
0.14167,0.069,10,Velocidad 1
0.14333,0.07,10,Velocidad 1
0.145,0.072,10,Velocidad 1
0.14667,0.07,10,Velocidad 1
0.14833,0.073,10,Velocidad 1
0.15,0.074,10,Velocidad 1
0.15167,0.073,10,Velocidad 1
0.15333,0.076,10,Velocidad 1
0.155,0.074,10,Velocidad 1
0.15667,0.077,10,Velocidad 1
0.15833,0.076,10,Velocidad 1
0.16,0.078,10,Velocidad 1
0.16167,0.078,10,Velocidad 1
0.16333,0.077,10,Velocidad 1
0.165,0.081,10,Velocidad 1
0.16667,0.08,10,Velocidad 1
0.16833,0.081,10,Velocidad 1
0.17,0.083,10,Velocidad 1
0.17167,0.085,10,Velocidad 1
0.17333,0.083,10,Velocidad 1
0.175,0.084,10,Velocidad 1
0.17667,0.085,10,Velocidad 1
0.17833,0.085,10,Velocidad 1
0.18,0.087,10,Velocidad 1
0.18167,0.087,10,Velocidad 1
0.18333,0.09,10,Velocidad 1
0.185,0.092,10,Velocidad 1
0.18667,0.093,10,Velocidad 1
0.18833,0.092,10,Velocidad 1
0.19,0.093,10,Velocidad 1
0.19167,0.095,10,Velocidad 1
0.19333,0.093,10,Velocidad 1
0.195,0.095,10,Velocidad 1
0.19667,0.097,10,Velocidad 1
0.19833,0.095,10,Velocidad 1
0.2,0.098,10,Velocidad 1
0.20167,0.099,10,Velocidad 1
0.20333,0.098,10,Velocidad 1
0.205,0.101,10,Velocidad 1
0.20667,0.102,10,Velocidad 1
0.20833,0.102,11,Velocidad 1
0.21,0.104,11,Velocidad 1
0.21167,0.104,11,Velocidad 1
0.21333,0.104,11,Velocidad 1
0.215,0.106,11,Velocidad 1
0.21667,0.107,11,Velocidad 1
0.21833,0.105,11,Velocidad 1
0.22,0.107,11,Velocidad 1
0.22167,0.109,11,Velocidad 1
0.22333,0.108,11,Velocidad 1
0.225,0.109,12,Velocidad 1
0.22667,0.111,12,Velocidad 1
0.22833,0.11,12,Velocidad 1
0.23,0.112,12,Velocidad 1
0.23167,0.113,12,Velocidad 1
0.23333,0.116,12,Velocidad 1
0.235,0.114,12,Velocidad 1
0.23667,0.116,12,Velocidad 1
0.23833,0.115,13,Velocidad 1
0.24,0.119,13,Velocidad 1
0.24167,0.117,13,Velocidad 1
0.24333,0.119,14,Velocidad 1
0.245,0.12,14,Velocidad 1
0.24667,0.121,15,Velocidad 1
0.24833,0.121,15,Velocidad 1
0.25,0.123,16,Velocidad 1
0.25167,0.125,16,Velocidad 1
0.25333,0.123,17,Velocidad 1
0.255,0.126,17,Velocidad 1
0.25667,0.127,17,Velocidad 1
0.25833,0.127,17,Velocidad 1
0.26,0.128,17,Velocidad 1
0.26167,0.129,18,Velocidad 1
0.26333,0.131,18,Velocidad 1
0.265,0.131,18,Velocidad 1
0.26667,0.13,19,Velocidad 1
0.26833,0.131,19,Velocidad 1
0.27,0.133,19,Velocidad 1
0.27167,0.134,19,Velocidad 1
0.27333,0.134,20,Velocidad 1
0.275,0.134,20,Velocidad 1
0.27667,0.137,20,Velocidad 1
0.27833,0.136,21,Velocidad 1
0.28,0.139,21,Velocidad 1
0.28167,0.139,21,Velocidad 1
0.28333,0.141,22,Velocidad 1
0.285,0.138,22,Velocidad 1
0.28667,0.141,22,Velocidad 1
0.28833,0.141,22,Velocidad 1
0.29,0.143,22,Velocidad 1
0.29167,0.141,22,Velocidad 1
0.29333,0.143,23,Velocidad 1
0.295,0.145,23,Velocidad 1
0.29667,0.146,23,Velocidad 1
0.29833,0.146,23,Velocidad 1
0.3,0.149,24,Velocidad 1
0.30167,0.147,24,Velocidad 1
0.30333,0.148,24,Velocidad 1
0.305,0.149,24,Velocidad 1
0.30667,0.151,24,Velocidad 1
0.30833,0.153,24,Velocidad 1
0.31,0.153,25,Velocidad 1
0.31167,0.154,25,Velocidad 1
0.31333,0.153,25,Velocidad 1
0.315,0.156,25,Velocidad 1
0.31667,0.157,26,Velocidad 1
0.31833,0.155,26,Velocidad 1
0.32,0.157,26,Velocidad 1
0.32167,0.158,26,Velocidad 1
0.32333,0.158,27,Velocidad 1
0.325,0.161,27,Velocidad 1
0.32667,0.162,28,Velocidad 1
0.32833,0.16,28,Velocidad 1
0.33,0.163,28,Velocidad 1
0.33167,0.166,29,Velocidad 1
0.33333,0.166,29,Velocidad 1
0.335,0.165,29,Velocidad 1
0.33667,0.165,30,Velocidad 1
0.33833,0.168,30,Velocidad 1
0.34,0.168,30,Velocidad 1
0.34167,0.169,31,Velocidad 1
0.34333,0.169,32,Velocidad 1
0.345,0.171,32,Velocidad 1
0.34667,0.171,32,Velocidad 1
0.34833,0.171,33,Velocidad 1
0.35,0.172,33,Velocidad 1
0.35167,0.172,34,Velocidad 1
0.35333,0.174,34,Velocidad 1
0.355,0.174,34,Velocidad 1
0.35667,0.176,35,Velocidad 1
0.35833,0.177,35,Velocidad 1
0.36,0.178,36,Velocidad 1
0.36167,0.177,37,Velocidad 1
0.36333,0.18,37,Velocidad 1
0.365,0.18,37,Velocidad 1
0.36667,0.182,38,Velocidad 1
0.36833,0.183,38,Velocidad 1
0.37,0.181,38,Velocidad 1
0.37167,0.184,39,Velocidad 1
0.37333,0.185,39,Velocidad 1
0.375,0.186,39,Velocidad 1
0.37667,0.187,40,Velocidad 1
0.37833,0.185,41,Velocidad 1
0.38,0.189,41,Velocidad 1
0.38167,0.189,42,Velocidad 1
0.38333,0.189,42,Velocidad 1
0.385,0.191,42,Velocidad 1
0.38667,0.193,43,Velocidad 1
0.38833,0.191,43,Velocidad 1
0.39,0.191,44,Velocidad 1
0.39167,0.194,44,Velocidad 1
0.39333,0.195,44,Velocidad 1
0.395,0.196,45,Velocidad 1
0.39667,0.195,45,Velocidad 1
0.39833,0.197,46,Velocidad 1
0.4,0.198,46,Velocidad 1
0.40167,0.197,47,Velocidad 1
0.40333,0.2,47,Velocidad 1
0.405,0.201,47,Velocidad 1
0.40667,0.202,48,Velocidad 1
0.40833,0.201,48,Velocidad 1
0.41,0.203,49,Velocidad 1
0.41167,0.202,49,Velocidad 1
0.41333,0.205,50,Velocidad 1
0.415,0.206,50,Velocidad 1
0.41667,0.204,50,Velocidad 1
0.41833,0.208,51,Velocidad 1
0.42,0.208,51,Velocidad 1
0.42167,0.208,51,Velocidad 1
0.42333,0.21,51,Velocidad 1
0.425,0.211,52,Velocidad 1
0.42667,0.211,52,Velocidad 1
0.42833,0.211,53,Velocidad 1
0.43,0.214,54,Velocidad 1
0.43167,0.214,55,Velocidad 1
0.43333,0.216,56,Velocidad 1
0.435,0.215,58,Velocidad 1
0.43667,0.214,59,Velocidad 1
0.43833,0.217,60,Velocidad 1
0.44,0.219,61,Velocidad 1
0.44167,0.218,63,Velocidad 1
0.44333,0.218,64,Velocidad 1
0.445,0.219,65,Velocidad 1
0.44667,0.219,67,Velocidad 1
0.44833,0.221,69,Velocidad 1
0.45,0.223,70,Velocidad 1
0.45167,0.224,71,Velocidad 1
0.45333,0.226,72,Velocidad 1
0.455,0.226,74,Velocidad 1
0.45667,0.227,75,Velocidad 1
0.45833,0.228,77,Velocidad 1
0.46,0.226,78,Velocidad 1
0.46167,0.228,80,Velocidad 1
0.46333,0.23,81,Velocidad 1
0.465,0.228,82,Velocidad 1
0.46667,0.23,84,Velocidad 1
0.46833,0.233,86,Velocidad 1
0.47,0.234,87,Velocidad 1
0.47167,0.232,88,Velocidad 1
0.47333,0.236,90,Velocidad 1
0.475,0.234,91,Velocidad 1
0.47667,0.236,92,Velocidad 1
0.47833,0.236,94,Velocidad 1
0.48,0.238,95,Velocidad 1
0.48167,0.239,96,Velocidad 1
0.48333,0.239,97,Velocidad 1
0.485,0.239,98,Velocidad 1
0.48667,0.24,101,Velocidad 1
0.48833,0.241,102,Velocidad 1
0.49,0.241,103,Velocidad 1
0.49167,0.243,105,Velocidad 1
0.49333,0.246,105,Velocidad 1
0.495,0.245,106,Velocidad 1
0.49667,0.246,107,Velocidad 1
0.49833,0.247,109,Velocidad 1
0.5,0.247,110,Velocidad 1
0.50167,0.249,112,Velocidad 1
0.50333,0.25,113,Velocidad 1
0.505,0.251,115,Velocidad 1
0.50667,0.251,116,Velocidad 1
0.50833,0.253,118,Velocidad 1
0.51,0.25,119,Velocidad 1
0.51167,0.254,121,Velocidad 1
0.51333,0.255,122,Velocidad 1
0.515,0.254,124,Velocidad 1
0.51667,0.257,126,Velocidad 1
0.51833,0.258,128,Velocidad 1
0.52,0.256,130,Velocidad 1
0.52167,0.257,131,Velocidad 1
0.52333,0.259,132,Velocidad 1
0.525,0.262,135,Velocidad 1
0.52667,0.262,137,Velocidad 1
0.52833,0.26,138,Velocidad 1
0.53,0.261,140,Velocidad 1
0.53167,0.264,142,Velocidad 1
0.53333,0.265,143,Velocidad 1
0.535,0.265,145,Velocidad 1
0.53667,0.265,147,Velocidad 1
0.53833,0.266,149,Velocidad 1
0.54,0.267,151,Velocidad 1
0.54167,0.268,153,Velocidad 1
0.54333,0.268,154,Velocidad 1
0.545,0.272,156,Velocidad 1
0.54667,0.27,157,Velocidad 1
0.54833,0.271,159,Velocidad 1
0.55,0.272,161,Velocidad 1
0.55167,0.272,163,Velocidad 1
0.55333,0.275,164,Velocidad 1
0.555,0.275,166,Velocidad 1
0.55667,0.277,168,Velocidad 1
0.55833,0.278,170,Velocidad 1
0.56,0.278,172,Velocidad 1
0.56167,0.279,173,Velocidad 1
0.56333,0.278,175,Velocidad 1
0.565,0.282,178,Velocidad 1
0.56667,0.28,180,Velocidad 1
0.56833,0.284,181,Velocidad 1
0.57,0.284,184,Velocidad 1
0.57167,0.284,186,Velocidad 1
0.57333,0.283,188,Velocidad 1
0.575,0.286,190,Velocidad 1
0.57667,0.287,192,Velocidad 1
0.57833,0.287,193,Velocidad 1
0.58,0.289,195,Velocidad 1
0.58167,0.288,196,Velocidad 1
0.58333,0.289,198,Velocidad 1
0.585,0.291,200,Velocidad 1
0.58667,0.291,202,Velocidad 1
0.58833,0.293,204,Velocidad 1
0.59,0.293,207,Velocidad 1
0.59167,0.294,209,Velocidad 1
0.59333,0.294,211,Velocidad 1
0.595,0.294,213,Velocidad 1
0.59667,0.297,214,Velocidad 1
0.59833,0.295,216,Velocidad 1
0.6,0.298,218,Velocidad 1
0.60167,0.3,220,Velocidad 1
0.60333,0.299,223,Velocidad 1
0.605,0.299,225,Velocidad 1
0.60667,0.302,227,Velocidad 1
0.60833,0.304,229,Velocidad 1
0.61,0.303,231,Velocidad 1
0.61167,0.304,233,Velocidad 1
0.61333,0.304,235,Velocidad 1
0.615,0.305,237,Velocidad 1
0.61667,0.307,240,Velocidad 1
0.61833,0.306,242,Velocidad 1
0.62,0.308,243,Velocidad 1
0.62167,0.31,245,Velocidad 1
0.62333,0.308,247,Velocidad 1
0.625,0.311,251,Velocidad 1
0.62667,0.312,252,Velocidad 1
0.62833,0.311,255,Velocidad 1
0.63,0.312,257,Velocidad 1
0.63167,0.314,258,Velocidad 1
0.63333,0.314,261,Velocidad 1
0.635,0.313,264,Velocidad 1
0.63667,0.315,266,Velocidad 1
0.63833,0.316,269,Velocidad 1
0.64,0.319,271,Velocidad 1
0.64167,0.319,273,Velocidad 1
0.64333,0.32,275,Velocidad 1
0.645,0.321,278,Velocidad 1
0.64667,0.321,280,Velocidad 1
0.64833,0.323,282,Velocidad 1
0.65,0.323,285,Velocidad 1
0.65167,0.324,287,Velocidad 1
0.65333,0.323,290,Velocidad 1
0.655,0.324,292,Velocidad 1
0.65667,0.325,295,Velocidad 1
0.65833,0.327,297,Velocidad 1
0.66,0.326,299,Velocidad 1
0.66167,0.326,301,Velocidad 1
0.66333,0.329,305,Velocidad 1
0.665,0.33,308,Velocidad 1
0.66667,0.33,310,Velocidad 1
0.66833,0.331,313,Velocidad 1
0.67,0.332,316,Velocidad 1
0.67167,0.332,318,Velocidad 1
0.67333,0.335,319,Velocidad 1
0.675,0.334,322,Velocidad 1
0.67667,0.337,324,Velocidad 1
0.67833,0.335,327,Velocidad 1
0.68,0.338,329,Velocidad 1
0.68167,0.339,331,Velocidad 1
0.68333,0.34,333,Velocidad 1
0.685,0.339,336,Velocidad 1
0.68667,0.341,339,Velocidad 1
0.68833,0.343,342,Velocidad 1
0.69,0.342,347,Velocidad 1
0.69167,0.344,350,Velocidad 1
0.69333,0.346,353,Velocidad 1
0.695,0.343,356,Velocidad 1
0.69667,0.347,359,Velocidad 1
0.69833,0.348,360,Velocidad 1
0.7,0.348,362,Velocidad 1
0.70167,0.349,365,Velocidad 1
0.70333,0.35,368,Velocidad 1
0.705,0.349,371,Velocidad 1
0.70667,0.349,375,Velocidad 1
0.70833,0.352,378,Velocidad 1
0.71,0.352,383,Velocidad 1
0.71167,0.355,386,Velocidad 1
0.71333,0.354,390,Velocidad 1
0.715,0.357,393,Velocidad 1
0.71667,0.356,395,Velocidad 1
0.71833,0.358,397,Velocidad 1
0.72,0.358,400,Velocidad 1
0.72167,0.359,404,Velocidad 1
0.72333,0.361,408,Velocidad 1
0.725,0.36,412,Velocidad 1
0.72667,0.362,416,Velocidad 1
0.72833,0.363,418,Velocidad 1
0.73,0.363,421,Velocidad 1
0.73167,0.365,423,Velocidad 1
0.73333,0.365,426,Velocidad 1
0.735,0.367,429,Velocidad 1
0.73667,0.365,432,Velocidad 1
0.73833,0.366,437,Velocidad 1
0.74,0.367,442,Velocidad 1
0.74167,0.371,446,Velocidad 1
0.74333,0.37,450,Velocidad 1
0.745,0.369,453,Velocidad 1
0.74667,0.372,455,Velocidad 1
0.74833,0.373,458,Velocidad 1
0.75,0.371,460,Velocidad 1
0.75167,0.374,465,Velocidad 1
0.75333,0.375,468,Velocidad 1
0.755,0.376,471,Velocidad 1
0.75667,0.375,475,Velocidad 1
0.75833,0.377,478,Velocidad 1
0.76,0.378,484,Velocidad 1
0.76167,0.377,488,Velocidad 1
0.76333,0.378,492,Velocidad 1
0.765,0.379,495,Velocidad 1
0.76667,0.38,498,Velocidad 1
0.76833,0.38,501,Velocidad 1
0.77,0.382,505,Velocidad 1
0.77167,0.384,508,Velocidad 1
0.77333,0.383,512,Velocidad 1
0.775,0.386,516,Velocidad 1
0.77667,0.386,522,Velocidad 1
0.77833,0.388,527,Velocidad 1
0.78,0.389,531,Velocidad 1
0.78167,0.388,533,Velocidad 1
0.78333,0.39,537,Velocidad 1
0.785,0.389,539,Velocidad 1
0.78667,0.39,544,Velocidad 1
0.78833,0.393,547,Velocidad 1
0.79,0.391,551,Velocidad 1
0.79167,0.394,555,Velocidad 1
0.79333,0.395,559,Velocidad 1
0.795,0.396,564,Velocidad 1
0.79667,0.396,571,Velocidad 1
0.79833,0.397,576,Velocidad 1
0.8,0.396,580,Velocidad 1
0.80167,0.4,582,Velocidad 1
0.80333,0.4,584,Velocidad 1
0.805,0.401,587,Velocidad 1
0.80667,0.4,592,Velocidad 1
0.80833,0.403,595,Velocidad 1
0.81,0.404,600,Velocidad 1
0.81167,0.404,603,Velocidad 1
