English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 16 Dec 2015 15:23:09
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,-0.001,0,Velocidad 1
0.00333,0,0,Velocidad 1
0.005,0.001,0,Velocidad 1
0.00667,0,1,Velocidad 1
0.00833,0.002,1,Velocidad 1
0.01,0.002,1,Velocidad 1
0.01167,0.005,1,Velocidad 1
0.01333,0.005,1,Velocidad 1
0.015,0.003,1,Velocidad 1
0.01667,0.007,1,Velocidad 1
0.01833,0.006,1,Velocidad 1
0.02,0.01,1,Velocidad 1
0.02167,0.009,1,Velocidad 1
0.02333,0.011,1,Velocidad 1
0.025,0.011,1,Velocidad 1
0.02667,0.013,1,Velocidad 1
0.02833,0.011,1,Velocidad 1
0.03,0.014,1,Velocidad 1
0.03167,0.013,1,Velocidad 1
0.03333,0.014,1,Velocidad 1
0.035,0.014,2,Velocidad 1
0.03667,0.017,2,Velocidad 1
0.03833,0.019,2,Velocidad 1
0.04,0.019,2,Velocidad 1
0.04167,0.018,2,Velocidad 1
0.04333,0.019,2,Velocidad 1
0.045,0.022,3,Velocidad 1
0.04667,0.022,3,Velocidad 1
0.04833,0.023,3,Velocidad 1
0.05,0.022,4,Velocidad 1
0.05167,0.023,4,Velocidad 1
0.05333,0.023,5,Velocidad 1
0.055,0.027,5,Velocidad 1
0.05667,0.025,5,Velocidad 1
0.05833,0.027,6,Velocidad 1
0.06,0.029,6,Velocidad 1
0.06167,0.03,6,Velocidad 1
0.06333,0.031,6,Velocidad 1
0.065,0.029,7,Velocidad 1
0.06667,0.032,7,Velocidad 1
0.06833,0.031,7,Velocidad 1
0.07,0.035,7,Velocidad 1
0.07167,0.033,7,Velocidad 1
0.07333,0.034,7,Velocidad 1
0.075,0.034,7,Velocidad 1
0.07667,0.037,7,Velocidad 1
0.07833,0.038,7,Velocidad 1
0.08,0.037,7,Velocidad 1
0.08167,0.04,8,Velocidad 1
0.08333,0.039,8,Velocidad 1
0.085,0.042,8,Velocidad 1
0.08667,0.042,8,Velocidad 1
0.08833,0.042,8,Velocidad 1
0.09,0.045,8,Velocidad 1
0.09167,0.042,9,Velocidad 1
0.09333,0.044,9,Velocidad 1
0.095,0.044,9,Velocidad 1
0.09667,0.046,9,Velocidad 1
0.09833,0.048,9,Velocidad 1
0.1,0.049,9,Velocidad 1
0.10167,0.049,9,Velocidad 1
0.10333,0.051,9,Velocidad 1
0.105,0.051,9,Velocidad 1
0.10667,0.052,9,Velocidad 1
0.10833,0.054,9,Velocidad 1
0.11,0.054,9,Velocidad 1
0.11167,0.053,10,Velocidad 1
0.11333,0.054,10,Velocidad 1
0.115,0.055,10,Velocidad 1
0.11667,0.058,10,Velocidad 1
0.11833,0.056,10,Velocidad 1
0.12,0.059,10,Velocidad 1
0.12167,0.057,10,Velocidad 1
0.12333,0.059,10,Velocidad 1
0.125,0.062,10,Velocidad 1
0.12667,0.062,10,Velocidad 1
0.12833,0.063,11,Velocidad 1
0.13,0.064,11,Velocidad 1
0.13167,0.062,11,Velocidad 1
0.13333,0.066,11,Velocidad 1
0.135,0.068,11,Velocidad 1
0.13667,0.065,11,Velocidad 1
0.13833,0.065,11,Velocidad 1
0.14,0.069,11,Velocidad 1
0.14167,0.068,11,Velocidad 1
0.14333,0.071,11,Velocidad 1
0.145,0.071,11,Velocidad 1
0.14667,0.073,12,Velocidad 1
0.14833,0.071,12,Velocidad 1
0.15,0.073,12,Velocidad 1
0.15167,0.073,12,Velocidad 1
0.15333,0.076,12,Velocidad 1
0.155,0.077,12,Velocidad 1
0.15667,0.075,12,Velocidad 1
0.15833,0.078,13,Velocidad 1
0.16,0.077,13,Velocidad 1
0.16167,0.08,13,Velocidad 1
0.16333,0.079,13,Velocidad 1
0.165,0.082,13,Velocidad 1
0.16667,0.083,13,Velocidad 1
0.16833,0.083,14,Velocidad 1
0.17,0.084,14,Velocidad 1
