English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Mon 11 Apr 2016 12:47:27
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,0.002,-2,Velocidad 1
0.00167,0.002,-2,Velocidad 1
0.0025,0.002,-3,Velocidad 1
0.00333,0.002,-3,Velocidad 1
0.00417,0.003,-3,Velocidad 1
0.005,0.003,-1,Velocidad 1
0.00583,0.001,5,Velocidad 1
0.00667,0.002,12,Velocidad 1
0.0075,0.004,19,Velocidad 1
0.00833,0.003,25,Velocidad 1
0.00917,0.006,35,Velocidad 1
0.01,0.006,44,Velocidad 1
0.01083,0.007,50,Velocidad 1
0.01167,0.006,56,Velocidad 1
0.0125,0.006,62,Velocidad 1
0.01333,0.006,69,Velocidad 1
0.01417,0.008,75,Velocidad 1
0.015,0.009,82,Velocidad 1
0.01583,0.006,91,Velocidad 1
0.01667,0.009,98,Velocidad 1
0.0175,0.007,105,Velocidad 1
0.01833,0.01,111,Velocidad 1
0.01917,0.009,121,Velocidad 1
0.02,0.011,128,Velocidad 1
0.02083,0.01,135,Velocidad 1
0.02167,0.011,142,Velocidad 1
0.0225,0.012,151,Velocidad 1
0.02333,0.013,158,Velocidad 1
0.02417,0.011,164,Velocidad 1
0.025,0.012,170,Velocidad 1
0.02583,0.014,176,Velocidad 1
0.02667,0.014,182,Velocidad 1
0.0275,0.014,187,Velocidad 1
0.02833,0.013,191,Velocidad 1
0.02917,0.016,199,Velocidad 1
0.03,0.015,209,Velocidad 1
0.03083,0.014,215,Velocidad 1
0.03167,0.017,221,Velocidad 1
0.0325,0.015,227,Velocidad 1
0.03333,0.018,233,Velocidad 1
0.03417,0.017,240,Velocidad 1
0.035,0.018,246,Velocidad 1
0.03583,0.018,253,Velocidad 1
0.03667,0.019,261,Velocidad 1
0.0375,0.019,271,Velocidad 1
0.03833,0.02,278,Velocidad 1
0.03917,0.02,283,Velocidad 1
0.04,0.019,289,Velocidad 1
0.04083,0.021,296,Velocidad 1
0.04167,0.022,302,Velocidad 1
0.0425,0.021,308,Velocidad 1
0.04333,0.022,316,Velocidad 1
0.04417,0.023,325,Velocidad 1
0.045,0.023,331,Velocidad 1
0.04583,0.022,335,Velocidad 1
0.04667,0.024,342,Velocidad 1
0.0475,0.023,350,Velocidad 1
0.04833,0.024,356,Velocidad 1
0.04917,0.025,366,Velocidad 1
0.05,0.026,373,Velocidad 1
0.05083,0.026,379,Velocidad 1
0.05167,0.027,384,Velocidad 1
0.0525,0.027,392,Velocidad 1
0.05333,0.026,399,Velocidad 1
0.05417,0.028,408,Velocidad 1
0.055,0.028,417,Velocidad 1
0.05583,0.029,426,Velocidad 1
0.05667,0.028,433,Velocidad 1
0.0575,0.029,438,Velocidad 1
0.05833,0.029,445,Velocidad 1
0.05917,0.029,451,Velocidad 1
0.06,0.03,456,Velocidad 1
0.06083,0.031,463,Velocidad 1
0.06167,0.031,469,Velocidad 1
0.0625,0.03,474,Velocidad 1
0.06333,0.03,480,Velocidad 1
0.06417,0.032,484,Velocidad 1
0.065,0.032,489,Velocidad 1
0.06583,0.034,495,Velocidad 1
0.06667,0.034,504,Velocidad 1
0.0675,0.032,513,Velocidad 1
0.06833,0.035,523,Velocidad 1
0.06917,0.035,532,Velocidad 1
0.07,0.036,540,Velocidad 1
0.07083,0.034,548,Velocidad 1
0.07167,0.038,556,Velocidad 1
0.0725,0.035,565,Velocidad 1
0.07333,0.036,574,Velocidad 1
0.07417,0.036,580,Velocidad 1
0.075,0.037,585,Velocidad 1
0.07583,0.039,594,Velocidad 1
0.07667,0.039,600,Velocidad 1
0.0775,0.04,605,Velocidad 1
0.07833,0.041,611,Velocidad 1
0.07917,0.039,619,Velocidad 1
0.08,0.039,625,Velocidad 1
0.08083,0.04,631,Velocidad 1
0.08167,0.043,641,Velocidad 1
0.0825,0.041,650,Velocidad 1
0.08333,0.043,656,Velocidad 1
0.08417,0.043,661,Velocidad 1
0.085,0.042,668,Velocidad 1
0.08583,0.044,676,Velocidad 1
0.08667,0.044,682,Velocidad 1
0.0875,0.045,686,Velocidad 1
0.08833,0.043,691,Velocidad 1
0.08917,0.045,696,Velocidad 1
0.09,0.044,702,Velocidad 1
0.09083,0.047,709,Velocidad 1
0.09167,0.048,717,Velocidad 1
0.0925,0.047,724,Velocidad 1
0.09333,0.045,729,Velocidad 1
0.09417,0.046,735,Velocidad 1
0.095,0.048,745,Velocidad 1
0.09583,0.049,756,Velocidad 1
0.09667,0.047,764,Velocidad 1
0.0975,0.05,772,Velocidad 1
0.09833,0.049,780,Velocidad 1
0.09917,0.049,787,Velocidad 1
0.1,0.049,794,Velocidad 1
0.10083,0.052,801,Velocidad 1
0.10167,0.052,807,Velocidad 1
0.1025,0.052,814,Velocidad 1
0.10333,0.052,818,Velocidad 1
0.10417,0.05,822,Velocidad 1
0.105,0.053,827,Velocidad 1
0.10583,0.053,835,Velocidad 1
0.10667,0.054,844,Velocidad 1
0.1075,0.053,851,Velocidad 1
0.10833,0.053,856,Velocidad 1
0.10917,0.055,863,Velocidad 1
0.11,0.055,873,Velocidad 1
0.11083,0.056,880,Velocidad 1
0.11167,0.056,886,Velocidad 1
0.1125,0.056,892,Velocidad 1
0.11333,0.056,899,Velocidad 1
0.11417,0.058,906,Velocidad 1
0.115,0.056,912,Velocidad 1
0.11583,0.057,918,Velocidad 1
0.11667,0.059,924,Velocidad 1
0.1175,0.06,931,Velocidad 1
0.11833,0.06,938,Velocidad 1
0.11917,0.06,945,Velocidad 1
0.12,0.059,950,Velocidad 1
0.12083,0.06,956,Velocidad 1
0.12167,0.062,962,Velocidad 1
0.1225,0.062,969,Velocidad 1
0.12333,0.062,976,Velocidad 1
