English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Mon 11 Apr 2016 12:28:27
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,-0.001,0,Velocidad 1
0.00167,0,0,Velocidad 1
0.0025,-0.001,0,Velocidad 1
0.00333,0.002,0,Velocidad 1
0.00417,0,0,Velocidad 1
0.005,0.002,1,Velocidad 1
0.00583,0.002,1,Velocidad 1
0.00667,0.001,1,Velocidad 1
0.0075,0.004,1,Velocidad 1
0.00833,0.004,2,Velocidad 1
0.00917,0.004,2,Velocidad 1
0.01,0.003,2,Velocidad 1
0.01083,0.004,2,Velocidad 1
0.01167,0.005,3,Velocidad 1
0.0125,0.005,3,Velocidad 1
0.01333,0.007,3,Velocidad 1
0.01417,0.004,3,Velocidad 1
0.015,0.006,3,Velocidad 1
0.01583,0.006,3,Velocidad 1
0.01667,0.007,4,Velocidad 1
0.0175,0.006,4,Velocidad 1
0.01833,0.009,4,Velocidad 1
0.01917,0.007,4,Velocidad 1
0.02,0.01,4,Velocidad 1
0.02083,0.01,4,Velocidad 1
0.02167,0.009,4,Velocidad 1
0.0225,0.012,4,Velocidad 1
0.02333,0.009,4,Velocidad 1
0.02417,0.01,4,Velocidad 1
0.025,0.011,4,Velocidad 1
0.02583,0.011,4,Velocidad 1
0.02667,0.011,4,Velocidad 1
0.0275,0.014,5,Velocidad 1
0.02833,0.012,5,Velocidad 1
0.02917,0.012,5,Velocidad 1
0.03,0.014,4,Velocidad 1
0.03083,0.014,4,Velocidad 1
0.03167,0.015,5,Velocidad 1
0.0325,0.015,5,Velocidad 1
0.03333,0.016,5,Velocidad 1
0.03417,0.018,5,Velocidad 1
0.035,0.017,5,Velocidad 1
0.03583,0.018,5,Velocidad 1
0.03667,0.017,5,Velocidad 1
0.0375,0.018,5,Velocidad 1
0.03833,0.019,5,Velocidad 1
0.03917,0.019,5,Velocidad 1
0.04,0.02,5,Velocidad 1
0.04083,0.021,5,Velocidad 1
0.04167,0.022,5,Velocidad 1
0.0425,0.019,5,Velocidad 1
0.04333,0.022,5,Velocidad 1
0.04417,0.02,5,Velocidad 1
0.045,0.023,5,Velocidad 1
0.04583,0.02,5,Velocidad 1
0.04667,0.025,5,Velocidad 1
0.0475,0.021,5,Velocidad 1
0.04833,0.025,5,Velocidad 1
0.04917,0.024,5,Velocidad 1
0.05,0.024,5,Velocidad 1
0.05083,0.024,5,Velocidad 1
0.05167,0.026,6,Velocidad 1
0.0525,0.024,5,Velocidad 1
0.05333,0.025,6,Velocidad 1
0.05417,0.027,6,Velocidad 1
0.055,0.026,5,Velocidad 1
0.05583,0.027,5,Velocidad 1
0.05667,0.028,5,Velocidad 1
0.0575,0.028,6,Velocidad 1
0.05833,0.03,6,Velocidad 1
0.05917,0.028,6,Velocidad 1
0.06,0.029,6,Velocidad 1
0.06083,0.031,6,Velocidad 1
0.06167,0.03,6,Velocidad 1
0.0625,0.032,6,Velocidad 1
0.06333,0.03,6,Velocidad 1
0.06417,0.032,6,Velocidad 1
0.065,0.033,6,Velocidad 1
0.06583,0.031,6,Velocidad 1
0.06667,0.032,6,Velocidad 1
0.0675,0.035,6,Velocidad 1
0.06833,0.034,6,Velocidad 1
0.06917,0.035,6,Velocidad 1
0.07,0.032,6,Velocidad 1
0.07083,0.035,6,Velocidad 1
0.07167,0.035,6,Velocidad 1
0.0725,0.034,6,Velocidad 1
0.07333,0.035,6,Velocidad 1
0.07417,0.037,6,Velocidad 1
0.075,0.038,6,Velocidad 1
0.07583,0.037,6,Velocidad 1
0.07667,0.038,6,Velocidad 1
0.0775,0.038,6,Velocidad 1
0.07833,0.039,6,Velocidad 1
0.07917,0.04,6,Velocidad 1
0.08,0.04,6,Velocidad 1
0.08083,0.039,6,Velocidad 1
0.08167,0.039,6,Velocidad 1
0.0825,0.039,6,Velocidad 1
0.08333,0.043,6,Velocidad 1
0.08417,0.039,6,Velocidad 1
0.085,0.041,6,Velocidad 1
0.08583,0.043,6,Velocidad 1
0.08667,0.041,6,Velocidad 1
0.0875,0.041,6,Velocidad 1
0.08833,0.044,6,Velocidad 1
0.08917,0.043,6,Velocidad 1
0.09,0.043,6,Velocidad 1
0.09083,0.047,6,Velocidad 1
0.09167,0.043,6,Velocidad 1
0.0925,0.045,6,Velocidad 1
0.09333,0.045,6,Velocidad 1
0.09417,0.047,6,Velocidad 1
0.095,0.046,6,Velocidad 1
0.09583,0.049,6,Velocidad 1
0.09667,0.048,6,Velocidad 1
0.0975,0.046,6,Velocidad 1
0.09833,0.047,6,Velocidad 1
0.09917,0.048,6,Velocidad 1
0.1,0.05,6,Velocidad 1
0.10083,0.049,7,Velocidad 1
0.10167,0.051,7,Velocidad 1
0.1025,0.05,7,Velocidad 1
0.10333,0.051,6,Velocidad 1
0.10417,0.05,6,Velocidad 1
0.105,0.052,7,Velocidad 1
0.10583,0.051,7,Velocidad 1
0.10667,0.053,7,Velocidad 1
0.1075,0.051,7,Velocidad 1
0.10833,0.054,7,Velocidad 1
0.10917,0.051,7,Velocidad 1
0.11,0.054,7,Velocidad 1
0.11083,0.053,7,Velocidad 1
0.11167,0.056,7,Velocidad 1
0.1125,0.054,7,Velocidad 1
0.11333,0.056,7,Velocidad 1
0.11417,0.057,7,Velocidad 1
0.115,0.058,7,Velocidad 1
0.11583,0.058,7,Velocidad 1
0.11667,0.057,7,Velocidad 1
