English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Mon 11 Apr 2016 11:52:54
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,0.003,0,Velocidad 1
0.00167,0.003,-1,Velocidad 1
0.0025,0.003,-1,Velocidad 1
0.00333,0.001,-1,Velocidad 1
0.00417,0.002,0,Velocidad 1
0.005,0.002,3,Velocidad 1
0.00583,0.004,8,Velocidad 1
0.00667,0.005,16,Velocidad 1
0.0075,0.005,25,Velocidad 1
0.00833,0.006,32,Velocidad 1
0.00917,0.006,39,Velocidad 1
0.01,0.007,47,Velocidad 1
0.01083,0.007,53,Velocidad 1
0.01167,0.007,60,Velocidad 1
0.0125,0.007,67,Velocidad 1
0.01333,0.006,74,Velocidad 1
0.01417,0.008,82,Velocidad 1
0.015,0.008,90,Velocidad 1
0.01583,0.01,98,Velocidad 1
0.01667,0.01,104,Velocidad 1
0.0175,0.009,110,Velocidad 1
0.01833,0.01,117,Velocidad 1
0.01917,0.012,126,Velocidad 1
0.02,0.012,134,Velocidad 1
0.02083,0.013,141,Velocidad 1
0.02167,0.011,145,Velocidad 1
0.0225,0.013,150,Velocidad 1
0.02333,0.013,157,Velocidad 1
0.02417,0.012,162,Velocidad 1
0.025,0.015,168,Velocidad 1
0.02583,0.013,176,Velocidad 1
0.02667,0.014,183,Velocidad 1
0.0275,0.015,191,Velocidad 1
0.02833,0.017,200,Velocidad 1
0.02917,0.015,206,Velocidad 1
0.03,0.017,211,Velocidad 1
0.03083,0.018,218,Velocidad 1
0.03167,0.019,224,Velocidad 1
0.0325,0.018,229,Velocidad 1
0.03333,0.019,236,Velocidad 1
0.03417,0.02,242,Velocidad 1
0.035,0.017,246,Velocidad 1
0.03583,0.018,251,Velocidad 1
0.03667,0.019,257,Velocidad 1
0.0375,0.019,263,Velocidad 1
0.03833,0.019,268,Velocidad 1
0.03917,0.02,276,Velocidad 1
0.04,0.021,285,Velocidad 1
0.04083,0.023,292,Velocidad 1
0.04167,0.024,300,Velocidad 1
0.0425,0.024,307,Velocidad 1
0.04333,0.023,314,Velocidad 1
0.04417,0.023,320,Velocidad 1
0.045,0.025,325,Velocidad 1
0.04583,0.025,330,Velocidad 1
0.04667,0.025,334,Velocidad 1
0.0475,0.026,339,Velocidad 1
0.04833,0.025,344,Velocidad 1
0.04917,0.025,349,Velocidad 1
0.05,0.025,356,Velocidad 1
0.05083,0.027,362,Velocidad 1
0.05167,0.028,368,Velocidad 1
0.0525,0.028,374,Velocidad 1
0.05333,0.027,379,Velocidad 1
0.05417,0.029,385,Velocidad 1
0.055,0.029,390,Velocidad 1
0.05583,0.03,396,Velocidad 1
0.05667,0.031,405,Velocidad 1
0.0575,0.028,410,Velocidad 1
0.05833,0.032,414,Velocidad 1
0.05917,0.032,419,Velocidad 1
0.06,0.03,427,Velocidad 1
0.06083,0.032,435,Velocidad 1
0.06167,0.031,443,Velocidad 1
0.0625,0.033,450,Velocidad 1
0.06333,0.032,456,Velocidad 1
0.06417,0.032,461,Velocidad 1
0.065,0.034,469,Velocidad 1
0.06583,0.036,477,Velocidad 1
0.06667,0.036,484,Velocidad 1
0.0675,0.035,490,Velocidad 1
0.06833,0.035,494,Velocidad 1
0.06917,0.035,499,Velocidad 1
0.07,0.039,503,Velocidad 1
0.07083,0.037,509,Velocidad 1
0.07167,0.038,515,Velocidad 1
0.0725,0.038,519,Velocidad 1
0.07333,0.038,523,Velocidad 1
0.07417,0.039,528,Velocidad 1
0.075,0.039,533,Velocidad 1
0.07583,0.039,537,Velocidad 1
0.07667,0.041,544,Velocidad 1
0.0775,0.039,551,Velocidad 1
0.07833,0.04,559,Velocidad 1
0.07917,0.042,566,Velocidad 1
0.08,0.041,571,Velocidad 1
0.08083,0.043,575,Velocidad 1
0.08167,0.043,582,Velocidad 1
0.0825,0.043,587,Velocidad 1
0.08333,0.042,590,Velocidad 1
0.08417,0.042,593,Velocidad 1
0.085,0.043,598,Velocidad 1
0.08583,0.045,606,Velocidad 1
0.08667,0.043,611,Velocidad 1
0.0875,0.046,615,Velocidad 1
0.08833,0.044,620,Velocidad 1
0.08917,0.047,625,Velocidad 1
0.09,0.047,631,Velocidad 1
0.09083,0.048,637,Velocidad 1
0.09167,0.046,643,Velocidad 1
0.0925,0.048,648,Velocidad 1
0.09333,0.048,652,Velocidad 1
0.09417,0.049,657,Velocidad 1
0.095,0.049,662,Velocidad 1
0.09583,0.048,667,Velocidad 1
0.09667,0.048,673,Velocidad 1
0.0975,0.049,680,Velocidad 1
0.09833,0.05,686,Velocidad 1
0.09917,0.05,693,Velocidad 1
0.1,0.05,698,Velocidad 1
0.10083,0.053,703,Velocidad 1
0.10167,0.052,709,Velocidad 1
