English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Mon 11 Apr 2016 12:17:34
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,0.001,-1,Velocidad 1
0.00167,0,1,Velocidad 1
0.0025,0.001,2,Velocidad 1
0.00333,0,3,Velocidad 1
0.00417,0.003,5,Velocidad 1
0.005,0.003,8,Velocidad 1
0.00583,0.004,11,Velocidad 1
0.00667,0.004,17,Velocidad 1
0.0075,0.004,24,Velocidad 1
0.00833,0.002,29,Velocidad 1
0.00917,0.005,34,Velocidad 1
0.01,0.005,40,Velocidad 1
0.01083,0.006,48,Velocidad 1
0.01167,0.007,56,Velocidad 1
0.0125,0.007,65,Velocidad 1
0.01333,0.007,74,Velocidad 1
0.01417,0.008,82,Velocidad 1
0.015,0.009,88,Velocidad 1
0.01583,0.007,94,Velocidad 1
0.01667,0.007,99,Velocidad 1
0.0175,0.01,106,Velocidad 1
0.01833,0.011,112,Velocidad 1
0.01917,0.009,118,Velocidad 1
0.02,0.01,125,Velocidad 1
0.02083,0.011,131,Velocidad 1
0.02167,0.011,138,Velocidad 1
0.0225,0.012,146,Velocidad 1
0.02333,0.011,153,Velocidad 1
0.02417,0.011,159,Velocidad 1
0.025,0.013,167,Velocidad 1
0.02583,0.012,175,Velocidad 1
0.02667,0.012,181,Velocidad 1
0.0275,0.014,186,Velocidad 1
0.02833,0.015,192,Velocidad 1
0.02917,0.013,197,Velocidad 1
0.03,0.016,203,Velocidad 1
0.03083,0.015,212,Velocidad 1
0.03167,0.016,219,Velocidad 1
0.0325,0.017,226,Velocidad 1
0.03333,0.016,235,Velocidad 1
0.03417,0.018,242,Velocidad 1
0.035,0.016,250,Velocidad 1
0.03583,0.019,257,Velocidad 1
0.03667,0.017,262,Velocidad 1
0.0375,0.019,266,Velocidad 1
0.03833,0.02,272,Velocidad 1
0.03917,0.019,276,Velocidad 1
0.04,0.021,280,Velocidad 1
0.04083,0.021,286,Velocidad 1
0.04167,0.021,290,Velocidad 1
0.0425,0.02,293,Velocidad 1
0.04333,0.021,298,Velocidad 1
0.04417,0.023,304,Velocidad 1
0.045,0.022,310,Velocidad 1
0.04583,0.024,315,Velocidad 1
0.04667,0.022,319,Velocidad 1
0.0475,0.025,324,Velocidad 1
0.04833,0.023,330,Velocidad 1
0.04917,0.026,335,Velocidad 1
0.05,0.024,340,Velocidad 1
0.05083,0.026,340,Velocidad 1
0.05167,0.026,339,Velocidad 1
0.0525,0.027,335,Velocidad 1
0.05333,0.034,302,Velocidad 1
0.05417,0.027,87,Velocidad 1
0.055,0.027,-105,Velocidad 1
