English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Fri 27 May 2016 15:54:15
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0.001,0,Velocidad 1
0.00333,0.002,0,Velocidad 1
0.005,0.005,0,Velocidad 1
0.00667,0.008,1,Velocidad 1
0.00833,0.011,2,Velocidad 1
0.01,0.015,3,Velocidad 1
0.01167,0.019,4,Velocidad 1
0.01333,0.021,5,Velocidad 1
0.015,0.023,6,Velocidad 1
0.01667,0.029,8,Velocidad 1
0.01833,0.032,9,Velocidad 1
0.02,0.034,10,Velocidad 1
0.02167,0.039,11,Velocidad 1
0.02333,0.04,12,Velocidad 1
0.025,0.046,13,Velocidad 1
0.02667,0.049,14,Velocidad 1
0.02833,0.054,15,Velocidad 1
0.03,0.057,16,Velocidad 1
0.03167,0.059,17,Velocidad 1
0.03333,0.061,18,Velocidad 1
0.035,0.065,19,Velocidad 1
0.03667,0.069,20,Velocidad 1
0.03833,0.073,21,Velocidad 1
0.04,0.077,22,Velocidad 1
0.04167,0.08,22,Velocidad 1
0.04333,0.081,23,Velocidad 1
0.045,0.085,23,Velocidad 1
0.04667,0.09,24,Velocidad 1
0.04833,0.093,24,Velocidad 1
0.05,0.096,25,Velocidad 1
0.05167,0.099,25,Velocidad 1
0.05333,0.103,26,Velocidad 1
0.055,0.106,26,Velocidad 1
0.05667,0.108,26,Velocidad 1
0.05833,0.114,27,Velocidad 1
0.06,0.118,27,Velocidad 1
0.06167,0.12,28,Velocidad 1
0.06333,0.123,28,Velocidad 1
0.065,0.127,28,Velocidad 1
0.06667,0.131,28,Velocidad 1
0.06833,0.132,29,Velocidad 1
0.07,0.135,29,Velocidad 1
0.07167,0.139,29,Velocidad 1
0.07333,0.143,30,Velocidad 1
0.075,0.143,30,Velocidad 1
0.07667,0.15,30,Velocidad 1
0.07833,0.153,31,Velocidad 1
0.08,0.154,31,Velocidad 1
0.08167,0.159,31,Velocidad 1
0.08333,0.161,31,Velocidad 1
0.085,0.166,31,Velocidad 1
0.08667,0.169,32,Velocidad 1
0.08833,0.172,32,Velocidad 1
0.09,0.176,32,Velocidad 1
0.09167,0.181,33,Velocidad 1
0.09333,0.182,33,Velocidad 1
0.095,0.186,33,Velocidad 1
0.09667,0.19,34,Velocidad 1
0.09833,0.194,34,Velocidad 1
0.1,0.196,34,Velocidad 1
