English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Fri 27 May 2016 16:03:28
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0.005,0,Velocidad 1
0.00333,0.006,0,Velocidad 1
0.005,0.011,0,Velocidad 1
0.00667,0.014,1,Velocidad 1
0.00833,0.017,1,Velocidad 1
0.01,0.018,2,Velocidad 1
0.01167,0.022,2,Velocidad 1
0.01333,0.025,2,Velocidad 1
0.015,0.03,2,Velocidad 1
0.01667,0.033,2,Velocidad 1
0.01833,0.036,2,Velocidad 1
0.02,0.04,2,Velocidad 1
0.02167,0.044,2,Velocidad 1
0.02333,0.047,3,Velocidad 1
0.025,0.049,3,Velocidad 1
0.02667,0.055,2,Velocidad 1
0.02833,0.058,3,Velocidad 1
0.03,0.061,3,Velocidad 1
0.03167,0.065,3,Velocidad 1
0.03333,0.068,3,Velocidad 1
0.035,0.069,3,Velocidad 1
0.03667,0.073,3,Velocidad 1
0.03833,0.077,3,Velocidad 1
0.04,0.08,3,Velocidad 1
0.04167,0.084,3,Velocidad 1
0.04333,0.087,3,Velocidad 1
0.045,0.09,4,Velocidad 1
0.04667,0.093,4,Velocidad 1
0.04833,0.097,4,Velocidad 1
0.05,0.101,4,Velocidad 1
0.05167,0.105,4,Velocidad 1
0.05333,0.106,4,Velocidad 1
0.055,0.11,4,Velocidad 1
0.05667,0.116,5,Velocidad 1
0.05833,0.118,5,Velocidad 1
0.06,0.122,5,Velocidad 1
0.06167,0.123,5,Velocidad 1
0.06333,0.128,5,Velocidad 1
0.065,0.131,6,Velocidad 1
0.06667,0.132,6,Velocidad 1
0.06833,0.137,6,Velocidad 1
0.07,0.141,6,Velocidad 1
0.07167,0.143,6,Velocidad 1
0.07333,0.146,6,Velocidad 1
0.075,0.152,7,Velocidad 1
0.07667,0.155,7,Velocidad 1
0.07833,0.157,7,Velocidad 1
0.08,0.159,7,Velocidad 1
0.08167,0.164,7,Velocidad 1
0.08333,0.165,7,Velocidad 1
0.085,0.171,7,Velocidad 1
0.08667,0.175,8,Velocidad 1
0.08833,0.177,8,Velocidad 1
0.09,0.179,8,Velocidad 1
0.09167,0.183,8,Velocidad 1
0.09333,0.186,8,Velocidad 1
0.095,0.191,8,Velocidad 1
0.09667,0.192,8,Velocidad 1
0.09833,0.195,8,Velocidad 1
0.1,0.199,8,Velocidad 1
0.10167,0.202,9,Velocidad 1
0.10333,0.208,9,Velocidad 1
0.105,0.209,9,Velocidad 1
0.10667,0.214,9,Velocidad 1
0.10833,0.217,9,Velocidad 1
0.11,0.221,9,Velocidad 1
0.11167,0.224,9,Velocidad 1
0.11333,0.228,9,Velocidad 1
0.115,0.23,9,Velocidad 1
0.11667,0.235,9,Velocidad 1
0.11833,0.238,9,Velocidad 1
0.12,0.241,10,Velocidad 1
0.12167,0.245,10,Velocidad 1
0.12333,0.247,10,Velocidad 1
0.125,0.252,10,Velocidad 1
0.12667,0.255,10,Velocidad 1
0.12833,0.255,11,Velocidad 1
0.13,0.259,11,Velocidad 1
0.13167,0.262,11,Velocidad 1
0.13333,0.265,11,Velocidad 1
0.135,0.272,11,Velocidad 1
0.13667,0.274,12,Velocidad 1
0.13833,0.275,12,Velocidad 1
0.14,0.278,12,Velocidad 1
0.14167,0.284,12,Velocidad 1
