English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Fri 27 May 2016 16:23:37
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0,0,Velocidad 1
0.00333,0.005,0,Velocidad 1
0.005,0.008,1,Velocidad 1
0.00667,0.01,2,Velocidad 1
0.00833,0.015,3,Velocidad 1
0.01,0.018,5,Velocidad 1
0.01167,0.021,6,Velocidad 1
0.01333,0.026,8,Velocidad 1
0.015,0.028,9,Velocidad 1
0.01667,0.029,11,Velocidad 1
0.01833,0.035,12,Velocidad 1
0.02,0.039,14,Velocidad 1
0.02167,0.04,15,Velocidad 1
0.02333,0.045,16,Velocidad 1
0.025,0.049,17,Velocidad 1
0.02667,0.049,19,Velocidad 1
0.02833,0.056,20,Velocidad 1
0.03,0.058,21,Velocidad 1
0.03167,0.062,22,Velocidad 1
0.03333,0.066,23,Velocidad 1
0.035,0.068,25,Velocidad 1
0.03667,0.072,26,Velocidad 1
0.03833,0.076,27,Velocidad 1
0.04,0.079,28,Velocidad 1
0.04167,0.082,29,Velocidad 1
0.04333,0.083,30,Velocidad 1
0.045,0.086,31,Velocidad 1
0.04667,0.092,32,Velocidad 1
0.04833,0.094,33,Velocidad 1
0.05,0.097,34,Velocidad 1
0.05167,0.1,34,Velocidad 1
0.05333,0.104,35,Velocidad 1
0.055,0.108,36,Velocidad 1
0.05667,0.112,36,Velocidad 1
0.05833,0.115,37,Velocidad 1
0.06,0.119,37,Velocidad 1
0.06167,0.122,38,Velocidad 1
0.06333,0.125,39,Velocidad 1
0.065,0.129,39,Velocidad 1
0.06667,0.132,39,Velocidad 1
0.06833,0.133,40,Velocidad 1
0.07,0.139,40,Velocidad 1
0.07167,0.14,41,Velocidad 1
0.07333,0.147,41,Velocidad 1
0.075,0.149,41,Velocidad 1
0.07667,0.152,42,Velocidad 1
0.07833,0.155,42,Velocidad 1
0.08,0.158,42,Velocidad 1
0.08167,0.162,43,Velocidad 1
0.08333,0.165,43,Velocidad 1
0.085,0.169,43,Velocidad 1
0.08667,0.171,44,Velocidad 1
0.08833,0.175,44,Velocidad 1
0.09,0.178,44,Velocidad 1
0.09167,0.182,44,Velocidad 1
0.09333,0.186,44,Velocidad 1
0.095,0.189,44,Velocidad 1
0.09667,0.193,45,Velocidad 1
0.09833,0.195,45,Velocidad 1
0.1,0.2,45,Velocidad 1
0.10167,0.202,45,Velocidad 1
0.10333,0.206,45,Velocidad 1
0.105,0.208,46,Velocidad 1
0.10667,0.21,46,Velocidad 1
0.10833,0.214,46,Velocidad 1
0.11,0.219,46,Velocidad 1
0.11167,0.222,47,Velocidad 1
0.11333,0.226,47,Velocidad 1
0.115,0.226,47,Velocidad 1
0.11667,0.23,47,Velocidad 1
0.11833,0.235,47,Velocidad 1
0.12,0.239,47,Velocidad 1
0.12167,0.242,48,Velocidad 1
0.12333,0.245,48,Velocidad 1
0.125,0.248,48,Velocidad 1
0.12667,0.252,48,Velocidad 1
0.12833,0.254,48,Velocidad 1
0.13,0.257,49,Velocidad 1
0.13167,0.26,49,Velocidad 1
0.13333,0.265,49,Velocidad 1
0.135,0.268,49,Velocidad 1
0.13667,0.271,50,Velocidad 1
0.13833,0.273,50,Velocidad 1
0.14,0.277,50,Velocidad 1
0.14167,0.283,50,Velocidad 1
0.14333,0.284,50,Velocidad 1
0.145,0.289,50,Velocidad 1
0.14667,0.293,51,Velocidad 1
0.14833,0.295,51,Velocidad 1
0.15,0.299,51,Velocidad 1
0.15167,0.303,51,Velocidad 1
0.15333,0.305,51,Velocidad 1
0.155,0.309,51,Velocidad 1
0.15667,0.31,52,Velocidad 1
0.15833,0.313,52,Velocidad 1
0.16,0.318,52,Velocidad 1
0.16167,0.323,52,Velocidad 1
0.16333,0.324,52,Velocidad 1
0.165,0.329,53,Velocidad 1
0.16667,0.331,53,Velocidad 1
0.16833,0.337,53,Velocidad 1
0.17,0.339,53,Velocidad 1
0.17167,0.339,53,Velocidad 1
0.17333,0.346,54,Velocidad 1
0.175,0.35,54,Velocidad 1
0.17667,0.352,54,Velocidad 1
0.17833,0.353,54,Velocidad 1
0.18,0.358,54,Velocidad 1
0.18167,0.362,54,Velocidad 1
0.18333,0.364,55,Velocidad 1
0.185,0.369,55,Velocidad 1
0.18667,0.372,55,Velocidad 1
0.18833,0.374,55,Velocidad 1
0.19,0.379,55,Velocidad 1
0.19167,0.381,56,Velocidad 1
0.19333,0.385,56,Velocidad 1
0.195,0.387,56,Velocidad 1
0.19667,0.39,56,Velocidad 1
0.19833,0.393,57,Velocidad 1
0.2,0.397,57,Velocidad 1
0.20167,0.403,57,Velocidad 1
0.20333,0.405,57,Velocidad 1
0.205,0.409,57,Velocidad 1
0.20667,0.412,57,Velocidad 1
0.20833,0.415,58,Velocidad 1
0.21,0.418,58,Velocidad 1
0.21167,0.423,58,Velocidad 1
0.21333,0.425,58,Velocidad 1
0.215,0.429,58,Velocidad 1
0.21667,0.432,59,Velocidad 1
0.21833,0.434,59,Velocidad 1
0.22,0.439,59,Velocidad 1
0.22167,0.442,59,Velocidad 1
0.22333,0.446,59,Velocidad 1
0.225,0.448,59,Velocidad 1
0.22667,0.451,60,Velocidad 1
0.22833,0.454,60,Velocidad 1
0.23,0.458,60,Velocidad 1
0.23167,0.461,60,Velocidad 1
0.23333,0.465,60,Velocidad 1
0.235,0.468,61,Velocidad 1
0.23667,0.472,61,Velocidad 1
0.23833,0.475,61,Velocidad 1
0.24,0.479,61,Velocidad 1
0.24167,0.482,61,Velocidad 1
0.24333,0.486,62,Velocidad 1
0.245,0.488,62,Velocidad 1
0.24667,0.491,62,Velocidad 1
0.24833,0.495,62,Velocidad 1
0.25,0.5,62,Velocidad 1
0.25167,0.503,62,Velocidad 1
0.25333,0.504,63,Velocidad 1
0.255,0.509,63,Velocidad 1
0.25667,0.511,63,Velocidad 1
0.25833,0.515,63,Velocidad 1
0.26,0.518,63,Velocidad 1
0.26167,0.52,64,Velocidad 1
0.26333,0.525,64,Velocidad 1
0.265,0.528,64,Velocidad 1
0.26667,0.531,64,Velocidad 1
0.26833,0.535,64,Velocidad 1
0.27,0.537,65,Velocidad 1
0.27167,0.542,65,Velocidad 1
0.27333,0.544,65,Velocidad 1
0.275,0.55,65,Velocidad 1
0.27667,0.552,65,Velocidad 1
0.27833,0.555,65,Velocidad 1
0.28,0.557,66,Velocidad 1
0.28167,0.562,66,Velocidad 1
0.28333,0.563,66,Velocidad 1
0.285,0.569,66,Velocidad 1
0.28667,0.572,66,Velocidad 1
0.28833,0.575,67,Velocidad 1
0.29,0.579,67,Velocidad 1
0.29167,0.583,67,Velocidad 1
0.29333,0.583,67,Velocidad 1
0.295,0.589,67,Velocidad 1
0.29667,0.592,67,Velocidad 1
0.29833,0.595,68,Velocidad 1
0.3,0.599,68,Velocidad 1
0.30167,0.601,68,Velocidad 1
0.30333,0.606,68,Velocidad 1
0.305,0.607,68,Velocidad 1
0.30667,0.613,68,Velocidad 1
0.30833,0.613,69,Velocidad 1
0.31,0.617,69,Velocidad 1
0.31167,0.622,69,Velocidad 1
0.31333,0.624,69,Velocidad 1
0.315,0.629,69,Velocidad 1
0.31667,0.632,70,Velocidad 1
0.31833,0.635,70,Velocidad 1
0.32,0.639,70,Velocidad 1
0.32167,0.642,70,Velocidad 1
0.32333,0.646,70,Velocidad 1
0.325,0.646,70,Velocidad 1
0.32667,0.652,71,Velocidad 1
0.32833,0.656,71,Velocidad 1
0.33,0.658,71,Velocidad 1
0.33167,0.662,71,Velocidad 1
0.33333,0.664,71,Velocidad 1
0.335,0.668,72,Velocidad 1
0.33667,0.672,72,Velocidad 1
0.33833,0.676,72,Velocidad 1
0.34,0.678,72,Velocidad 1
0.34167,0.682,72,Velocidad 1
0.34333,0.684,73,Velocidad 1
0.345,0.689,73,Velocidad 1
0.34667,0.691,73,Velocidad 1
0.34833,0.695,73,Velocidad 1
0.35,0.699,73,Velocidad 1
0.35167,0.703,73,Velocidad 1
