English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 01 Jun 2016 14:06:03
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0,0,Velocidad 1
0.00333,0.003,0,Velocidad 1
0.005,0.006,0,Velocidad 1
0.00667,0.01,0,Velocidad 1
0.00833,0.013,0,Velocidad 1
0.01,0.017,0,Velocidad 1
0.01167,0.019,0,Velocidad 1
0.01333,0.023,0,Velocidad 1
0.015,0.027,0,Velocidad 1
0.01667,0.03,0,Velocidad 1
0.01833,0.033,0,Velocidad 1
0.02,0.036,1,Velocidad 1
0.02167,0.041,0,Velocidad 1
0.02333,0.043,1,Velocidad 1
0.025,0.047,1,Velocidad 1
0.02667,0.05,1,Velocidad 1
0.02833,0.054,1,Velocidad 1
0.03,0.057,1,Velocidad 1
0.03167,0.059,1,Velocidad 1
0.03333,0.064,1,Velocidad 1
0.035,0.067,1,Velocidad 1
0.03667,0.07,1,Velocidad 1
0.03833,0.074,1,Velocidad 1
0.04,0.075,1,Velocidad 1
0.04167,0.081,1,Velocidad 1
0.04333,0.084,1,Velocidad 1
0.045,0.087,2,Velocidad 1
0.04667,0.091,2,Velocidad 1
0.04833,0.092,2,Velocidad 1
0.05,0.098,3,Velocidad 1
0.05167,0.101,4,Velocidad 1
0.05333,0.105,4,Velocidad 1
0.055,0.107,4,Velocidad 1
0.05667,0.109,4,Velocidad 1
0.05833,0.115,4,Velocidad 1
0.06,0.117,4,Velocidad 1
0.06167,0.121,5,Velocidad 1
0.06333,0.124,5,Velocidad 1
0.065,0.128,5,Velocidad 1
0.06667,0.13,5,Velocidad 1
0.06833,0.132,5,Velocidad 1
0.07,0.139,5,Velocidad 1
0.07167,0.141,5,Velocidad 1
0.07333,0.142,5,Velocidad 1
0.075,0.149,5,Velocidad 1
0.07667,0.15,5,Velocidad 1
0.07833,0.153,5,Velocidad 1
0.08,0.157,5,Velocidad 1
0.08167,0.162,6,Velocidad 1
0.08333,0.164,6,Velocidad 1
0.085,0.169,6,Velocidad 1
0.08667,0.17,7,Velocidad 1
0.08833,0.172,8,Velocidad 1
0.09,0.177,8,Velocidad 1
0.09167,0.181,9,Velocidad 1
0.09333,0.184,10,Velocidad 1
0.095,0.189,11,Velocidad 1
0.09667,0.189,12,Velocidad 1
0.09833,0.195,13,Velocidad 1
0.1,0.197,13,Velocidad 1
0.10167,0.201,13,Velocidad 1
0.10333,0.204,13,Velocidad 1
0.105,0.207,13,Velocidad 1
0.10667,0.211,13,Velocidad 1
0.10833,0.214,13,Velocidad 1
0.11,0.215,14,Velocidad 1
0.11167,0.221,14,Velocidad 1
0.11333,0.224,14,Velocidad 1
0.115,0.228,14,Velocidad 1
0.11667,0.232,14,Velocidad 1
0.11833,0.234,14,Velocidad 1
0.12,0.238,14,Velocidad 1
0.12167,0.241,14,Velocidad 1
0.12333,0.244,14,Velocidad 1
0.125,0.248,14,Velocidad 1
0.12667,0.251,14,Velocidad 1
0.12833,0.254,14,Velocidad 1
0.13,0.257,14,Velocidad 1
0.13167,0.259,14,Velocidad 1
0.13333,0.263,14,Velocidad 1
0.135,0.266,15,Velocidad 1
0.13667,0.269,15,Velocidad 1
0.13833,0.272,15,Velocidad 1
0.14,0.278,15,Velocidad 1
0.14167,0.28,15,Velocidad 1
0.14333,0.284,15,Velocidad 1
0.145,0.287,15,Velocidad 1
0.14667,0.289,15,Velocidad 1
0.14833,0.295,15,Velocidad 1
0.15,0.296,15,Velocidad 1
0.15167,0.3,16,Velocidad 1
0.15333,0.304,16,Velocidad 1
0.155,0.307,16,Velocidad 1
0.15667,0.311,16,Velocidad 1
0.15833,0.314,17,Velocidad 1
0.16,0.317,17,Velocidad 1
0.16167,0.319,17,Velocidad 1
0.16333,0.324,17,Velocidad 1
0.165,0.328,17,Velocidad 1
0.16667,0.331,18,Velocidad 1
0.16833,0.334,18,Velocidad 1
0.17,0.337,18,Velocidad 1
0.17167,0.339,18,Velocidad 1
0.17333,0.345,18,Velocidad 1
0.175,0.348,19,Velocidad 1
0.17667,0.351,19,Velocidad 1
0.17833,0.353,19,Velocidad 1
0.18,0.358,19,Velocidad 1
0.18167,0.36,19,Velocidad 1
0.18333,0.365,20,Velocidad 1
0.185,0.366,20,Velocidad 1
0.18667,0.369,20,Velocidad 1
0.18833,0.373,21,Velocidad 1
0.19,0.375,21,Velocidad 1
0.19167,0.38,22,Velocidad 1
0.19333,0.384,22,Velocidad 1
0.195,0.386,23,Velocidad 1
0.19667,0.391,23,Velocidad 1
0.19833,0.394,23,Velocidad 1
0.2,0.399,23,Velocidad 1
0.20167,0.398,23,Velocidad 1
0.20333,0.403,23,Velocidad 1
0.205,0.409,24,Velocidad 1
0.20667,0.411,24,Velocidad 1
0.20833,0.414,25,Velocidad 1
0.21,0.417,26,Velocidad 1
0.21167,0.419,27,Velocidad 1
0.21333,0.424,28,Velocidad 1
0.215,0.427,29,Velocidad 1
0.21667,0.431,30,Velocidad 1
0.21833,0.435,31,Velocidad 1
0.22,0.436,32,Velocidad 1
0.22167,0.442,33,Velocidad 1
0.22333,0.444,34,Velocidad 1
0.225,0.448,34,Velocidad 1
0.22667,0.45,36,Velocidad 1
0.22833,0.452,37,Velocidad 1
0.23,0.458,38,Velocidad 1
0.23167,0.459,39,Velocidad 1
0.23333,0.463,40,Velocidad 1
0.235,0.467,41,Velocidad 1
0.23667,0.47,42,Velocidad 1
0.23833,0.473,43,Velocidad 1
0.24,0.475,44,Velocidad 1
0.24167,0.479,44,Velocidad 1
0.24333,0.485,45,Velocidad 1
0.245,0.488,45,Velocidad 1
0.24667,0.491,45,Velocidad 1
0.24833,0.494,45,Velocidad 1
0.25,0.498,45,Velocidad 1
0.25167,0.5,45,Velocidad 1
0.25333,0.504,46,Velocidad 1
0.255,0.507,46,Velocidad 1
0.25667,0.511,46,Velocidad 1
0.25833,0.515,47,Velocidad 1
0.26,0.517,48,Velocidad 1
0.26167,0.521,49,Velocidad 1
0.26333,0.523,50,Velocidad 1
0.265,0.527,50,Velocidad 1
0.26667,0.53,52,Velocidad 1
0.26833,0.534,53,Velocidad 1
0.27,0.538,54,Velocidad 1
0.27167,0.54,55,Velocidad 1
0.27333,0.544,56,Velocidad 1
0.275,0.548,58,Velocidad 1
0.27667,0.55,59,Velocidad 1
0.27833,0.553,61,Velocidad 1
0.28,0.558,62,Velocidad 1
0.28167,0.561,64,Velocidad 1
0.28333,0.563,66,Velocidad 1
0.285,0.566,68,Velocidad 1
0.28667,0.57,71,Velocidad 1
0.28833,0.573,73,Velocidad 1
0.29,0.576,76,Velocidad 1
0.29167,0.581,78,Velocidad 1
0.29333,0.584,81,Velocidad 1
0.295,0.587,83,Velocidad 1
0.29667,0.591,86,Velocidad 1
0.29833,0.595,89,Velocidad 1
0.3,0.597,92,Velocidad 1
0.30167,0.6,94,Velocidad 1
0.30333,0.605,98,Velocidad 1
0.305,0.607,101,Velocidad 1
0.30667,0.61,105,Velocidad 1
0.30833,0.613,108,Velocidad 1
0.31,0.614,111,Velocidad 1
0.31167,0.619,114,Velocidad 1
0.31333,0.622,118,Velocidad 1
0.315,0.627,121,Velocidad 1
0.31667,0.628,125,Velocidad 1
0.31833,0.632,129,Velocidad 1
0.32,0.638,133,Velocidad 1
0.32167,0.641,137,Velocidad 1
0.32333,0.645,141,Velocidad 1
0.325,0.647,144,Velocidad 1
0.32667,0.651,149,Velocidad 1
0.32833,0.654,152,Velocidad 1
0.33,0.658,158,Velocidad 1
0.33167,0.661,162,Velocidad 1
0.33333,0.665,167,Velocidad 1
0.335,0.668,171,Velocidad 1
0.33667,0.669,176,Velocidad 1
0.33833,0.675,181,Velocidad 1
0.34,0.677,186,Velocidad 1
0.34167,0.681,191,Velocidad 1
0.34333,0.685,195,Velocidad 1
0.345,0.688,200,Velocidad 1
0.34667,0.69,205,Velocidad 1
0.34833,0.692,209,Velocidad 1
0.35,0.696,215,Velocidad 1
0.35167,0.699,218,Velocidad 1
0.35333,0.703,223,Velocidad 1
0.355,0.708,226,Velocidad 1
0.35667,0.711,231,Velocidad 1
0.35833,0.712,235,Velocidad 1
0.36,0.717,239,Velocidad 1
0.36167,0.722,245,Velocidad 1
0.36333,0.724,249,Velocidad 1
0.365,0.726,253,Velocidad 1
0.36667,0.731,258,Velocidad 1
0.36833,0.733,263,Velocidad 1
0.37,0.738,268,Velocidad 1
0.37167,0.739,274,Velocidad 1
0.37333,0.744,279,Velocidad 1
0.375,0.748,285,Velocidad 1
0.37667,0.751,292,Velocidad 1
0.37833,0.754,299,Velocidad 1
0.38,0.757,306,Velocidad 1
0.38167,0.76,312,Velocidad 1
0.38333,0.764,318,Velocidad 1
0.385,0.768,326,Velocidad 1
0.38667,0.771,332,Velocidad 1
0.38833,0.772,340,Velocidad 1
0.39,0.776,348,Velocidad 1
0.39167,0.779,355,Velocidad 1
0.39333,0.783,365,Velocidad 1
0.395,0.787,372,Velocidad 1
0.39667,0.789,380,Velocidad 1
0.39833,0.795,389,Velocidad 1
0.4,0.796,398,Velocidad 1
0.40167,0.801,409,Velocidad 1
0.40333,0.804,418,Velocidad 1
0.405,0.807,429,Velocidad 1
0.40667,0.811,440,Velocidad 1
0.40833,0.814,451,Velocidad 1
0.41,0.818,463,Velocidad 1
0.41167,0.819,475,Velocidad 1
0.41333,0.824,487,Velocidad 1
0.415,0.829,500,Velocidad 1
0.41667,0.829,513,Velocidad 1
0.41833,0.832,526,Velocidad 1
0.42,0.838,539,Velocidad 1
0.42167,0.841,553,Velocidad 1
0.42333,0.844,566,Velocidad 1
0.425,0.848,580,Velocidad 1
0.42667,0.851,594,Velocidad 1
0.42833,0.852,609,Velocidad 1
0.43,0.857,622,Velocidad 1
0.43167,0.86,638,Velocidad 1
0.43333,0.864,651,Velocidad 1
0.435,0.867,665,Velocidad 1
0.43667,0.871,680,Velocidad 1
0.43833,0.874,695,Velocidad 1
0.44,0.875,711,Velocidad 1
0.44167,0.88,726,Velocidad 1
0.44333,0.885,742,Velocidad 1
0.445,0.888,759,Velocidad 1
0.44667,0.891,774,Velocidad 1
0.44833,0.894,791,Velocidad 1
0.45,0.898,807,Velocidad 1
0.45167,0.901,825,Velocidad 1
0.45333,0.905,844,Velocidad 1
0.455,0.908,859,Velocidad 1
0.45667,0.91,877,Velocidad 1
0.45833,0.915,898,Velocidad 1
0.46,0.917,916,Velocidad 1
0.46167,0.922,934,Velocidad 1
0.46333,0.926,956,Velocidad 1
0.465,0.928,975,Velocidad 1
0.46667,0.931,996,Velocidad 1
0.46833,0.935,1015,Velocidad 1
0.47,0.935,1038,Velocidad 1
0.47167,0.941,1058,Velocidad 1
0.47333,0.945,1079,Velocidad 1
0.475,0.946,1099,Velocidad 1
0.47667,0.949,1120,Velocidad 1
0.47833,0.955,1142,Velocidad 1
0.48,0.958,1165,Velocidad 1
0.48167,0.962,1188,Velocidad 1
0.48333,0.964,1210,Velocidad 1
0.485,0.967,1231,Velocidad 1
0.48667,0.971,1251,Velocidad 1
0.48833,0.972,1272,Velocidad 1
0.49,0.978,1297,Velocidad 1
0.49167,0.981,1320,Velocidad 1
0.49333,0.986,1343,Velocidad 1
0.495,0.986,1367,Velocidad 1
0.49667,0.989,1394,Velocidad 1
0.49833,0.994,1416,Velocidad 1
0.5,0.997,1438,Velocidad 1
0.50167,0.999,1463,Velocidad 1
0.50333,1.005,1488,Velocidad 1
0.505,1.007,1512,Velocidad 1
0.50667,1.011,1537,Velocidad 1
0.50833,1.015,1560,Velocidad 1
0.51,1.017,1582,Velocidad 1
0.51167,1.021,1605,Velocidad 1
0.51333,1.024,1630,Velocidad 1
0.515,1.025,1658,Velocidad 1
0.51667,1.031,1684,Velocidad 1
0.51833,1.033,1712,Velocidad 1
0.52,1.038,1740,Velocidad 1
0.52167,1.039,1765,Velocidad 1
0.52333,1.042,1793,Velocidad 1
0.525,1.046,1820,Velocidad 1
0.52667,1.051,1849,Velocidad 1
0.52833,1.054,1875,Velocidad 1
0.53,1.059,1901,Velocidad 1
0.53167,1.059,1932,Velocidad 1
0.53333,1.063,1958,Velocidad 1
0.535,1.068,1988,Velocidad 1
0.53667,1.069,2017,Velocidad 1
0.53833,1.075,2047,Velocidad 1
0.54,1.077,2075,Velocidad 1
0.54167,1.082,2101,Velocidad 1
0.54333,1.084,2134,Velocidad 1
0.545,1.088,2163,Velocidad 1
0.54667,1.091,2194,Velocidad 1
0.54833,1.094,2225,Velocidad 1
0.55,1.097,2254,Velocidad 1
0.55167,1.102,2288,Velocidad 1
0.55333,1.101,2316,Velocidad 1
0.555,1.106,2348,Velocidad 1
0.55667,1.11,2384,Velocidad 1
0.55833,1.114,2417,Velocidad 1
0.56,1.118,2449,Velocidad 1
0.56167,1.121,2483,Velocidad 1
0.56333,1.124,2518,Velocidad 1
0.565,1.128,2555,Velocidad 1
0.56667,1.13,2590,Velocidad 1
0.56833,1.135,2627,Velocidad 1
0.57,1.137,2666,Velocidad 1
0.57167,1.141,2698,Velocidad 1
0.57333,1.144,2734,Velocidad 1
0.575,1.147,2771,Velocidad 1
0.57667,1.15,2809,Velocidad 1
0.57833,1.152,2844,Velocidad 1
0.58,1.156,2876,Velocidad 1
0.58167,1.16,2907,Velocidad 1
0.58333,1.164,2946,Velocidad 1
0.585,1.165,2987,Velocidad 1
0.58667,1.169,3027,Velocidad 1
0.58833,1.174,3066,Velocidad 1
0.59,1.175,3106,Velocidad 1
0.59167,1.18,3147,Velocidad 1
0.59333,1.184,3189,Velocidad 1
0.595,1.186,3230,Velocidad 1
0.59667,1.188,3270,Velocidad 1
0.59833,1.194,3310,Velocidad 1
0.6,1.197,3353,Velocidad 1
0.60167,1.199,3395,Velocidad 1
0.60333,1.204,3439,Velocidad 1
0.605,1.209,3484,Velocidad 1
0.60667,1.211,3528,Velocidad 1
0.60833,1.217,3571,Velocidad 1
0.61,1.216,3612,Velocidad 1
0.61167,1.223,3656,Velocidad 1
0.61333,1.223,3697,Velocidad 1
0.615,1.227,3738,Velocidad 1
0.61667,1.233,3782,Velocidad 1
0.61833,1.236,3830,Velocidad 1
0.62,1.238,3871,Velocidad 1
0.62167,1.241,3912,Velocidad 1
0.62333,1.243,3955,Velocidad 1
0.625,1.248,3997,Velocidad 1
0.62667,1.252,4039,Velocidad 1
0.62833,1.255,4084,Velocidad 1
0.63,1.259,4128,Velocidad 1
0.63167,1.261,4175,Velocidad 1
0.63333,1.265,4223,Velocidad 1
0.635,1.268,4267,Velocidad 1
0.63667,1.271,4313,Velocidad 1
0.63833,1.275,4358,Velocidad 1
0.64,1.278,4400,Velocidad 1
0.64167,1.279,4443,Velocidad 1
0.64333,1.284,4490,Velocidad 1
0.645,1.287,4534,Velocidad 1
0.64667,1.292,4584,Velocidad 1
0.64833,1.295,4633,Velocidad 1
0.65,1.298,4677,Velocidad 1
0.65167,1.302,4728,Velocidad 1
0.65333,1.302,4778,Velocidad 1
0.655,1.305,4826,Velocidad 1
0.65667,1.311,4874,Velocidad 1
0.65833,1.314,4922,Velocidad 1
0.66,1.317,4967,Velocidad 1
0.66167,1.321,5019,Velocidad 1
0.66333,1.325,5072,Velocidad 1
0.665,1.328,5121,Velocidad 1
0.66667,1.331,5168,Velocidad 1
0.66833,1.333,5222,Velocidad 1
0.67,1.337,5272,Velocidad 1
0.67167,1.34,5322,Velocidad 1
0.67333,1.345,5373,Velocidad 1
0.675,1.345,5422,Velocidad 1
0.67667,1.351,5472,Velocidad 1
0.67833,1.354,5523,Velocidad 1
0.68,1.358,5576,Velocidad 1
0.68167,1.359,5625,Velocidad 1
0.68333,1.364,5675,Velocidad 1
0.685,1.367,5725,Velocidad 1
0.68667,1.368,5775,Velocidad 1
0.68833,1.375,5830,Velocidad 1
0.69,1.377,5883,Velocidad 1
0.69167,1.381,5937,Velocidad 1
0.69333,1.383,5990,Velocidad 1
0.695,1.385,6043,Velocidad 1
0.69667,1.391,6098,Velocidad 1
0.69833,1.395,6153,Velocidad 1
0.7,1.398,6209,Velocidad 1
0.70167,1.401,6265,Velocidad 1
0.70333,1.404,6320,Velocidad 1
0.705,1.406,6373,Velocidad 1
0.70667,1.411,6428,Velocidad 1
0.70833,1.412,6478,Velocidad 1
0.71,1.418,6532,Velocidad 1
0.71167,1.42,6589,Velocidad 1
0.71333,1.424,6645,Velocidad 1
0.715,1.427,6700,Velocidad 1
0.71667,1.431,6758,Velocidad 1
0.71833,1.434,6815,Velocidad 1
0.72,1.437,6873,Velocidad 1
0.72167,1.439,6929,Velocidad 1
0.72333,1.443,6986,Velocidad 1
0.725,1.447,7044,Velocidad 1
0.72667,1.449,7099,Velocidad 1
0.72833,1.454,7156,Velocidad 1
0.73,1.457,7216,Velocidad 1
0.73167,1.459,7273,Velocidad 1
0.73333,1.462,7335,Velocidad 1
0.735,1.465,7391,Velocidad 1
0.73667,1.471,7449,Velocidad 1
0.73833,1.475,7507,Velocidad 1
0.74,1.478,7567,Velocidad 1
0.74167,1.481,7626,Velocidad 1
0.74333,1.484,7681,Velocidad 1
0.745,1.488,7740,Velocidad 1
0.74667,1.491,7799,Velocidad 1
0.74833,1.492,7856,Velocidad 1
0.75,1.498,7920,Velocidad 1
0.75167,1.502,7983,Velocidad 1
0.75333,1.503,8045,Velocidad 1
0.755,1.506,8106,Velocidad 1
0.75667,1.511,8167,Velocidad 1
0.75833,1.515,8228,Velocidad 1
0.76,1.518,8288,Velocidad 1
0.76167,1.522,8348,Velocidad 1
0.76333,1.524,8409,Velocidad 1
0.765,1.527,8469,Velocidad 1
0.76667,1.53,8528,Velocidad 1
0.76833,1.534,8594,Velocidad 1
0.77,1.538,8652,Velocidad 1
0.77167,1.542,8715,Velocidad 1
0.77333,1.544,8776,Velocidad 1
