English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 01 Jun 2016 14:23:35
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,-0.001,0,Velocidad 1
0.00333,0.001,0,Velocidad 1
0.005,0.003,0,Velocidad 1
0.00667,0.008,1,Velocidad 1
0.00833,0.008,2,Velocidad 1
0.01,0.014,3,Velocidad 1
0.01167,0.017,3,Velocidad 1
0.01333,0.02,4,Velocidad 1
0.015,0.023,5,Velocidad 1
0.01667,0.027,5,Velocidad 1
0.01833,0.031,5,Velocidad 1
0.02,0.034,5,Velocidad 1
0.02167,0.039,5,Velocidad 1
0.02333,0.039,5,Velocidad 1
0.025,0.044,6,Velocidad 1
0.02667,0.046,6,Velocidad 1
0.02833,0.05,6,Velocidad 1
0.03,0.052,6,Velocidad 1
0.03167,0.057,6,Velocidad 1
0.03333,0.061,7,Velocidad 1
0.035,0.064,7,Velocidad 1
0.03667,0.068,7,Velocidad 1
0.03833,0.071,7,Velocidad 1
0.04,0.074,8,Velocidad 1
0.04167,0.078,8,Velocidad 1
0.04333,0.08,8,Velocidad 1
0.045,0.083,8,Velocidad 1
0.04667,0.088,9,Velocidad 1
0.04833,0.091,9,Velocidad 1
0.05,0.092,10,Velocidad 1
0.05167,0.096,10,Velocidad 1
0.05333,0.1,11,Velocidad 1
0.055,0.104,11,Velocidad 1
0.05667,0.108,12,Velocidad 1
0.05833,0.11,12,Velocidad 1
0.06,0.115,12,Velocidad 1
0.06167,0.118,12,Velocidad 1
0.06333,0.121,12,Velocidad 1
0.065,0.125,13,Velocidad 1
0.06667,0.128,13,Velocidad 1
0.06833,0.131,13,Velocidad 1
0.07,0.134,13,Velocidad 1
0.07167,0.136,13,Velocidad 1
0.07333,0.142,13,Velocidad 1
0.075,0.143,13,Velocidad 1
0.07667,0.148,13,Velocidad 1
0.07833,0.152,14,Velocidad 1
0.08,0.153,14,Velocidad 1
0.08167,0.158,14,Velocidad 1
0.08333,0.162,14,Velocidad 1
0.085,0.164,14,Velocidad 1
0.08667,0.168,14,Velocidad 1
0.08833,0.172,14,Velocidad 1
0.09,0.175,14,Velocidad 1
0.09167,0.178,14,Velocidad 1
0.09333,0.18,14,Velocidad 1
0.095,0.185,14,Velocidad 1
0.09667,0.187,14,Velocidad 1
0.09833,0.191,14,Velocidad 1
0.1,0.194,14,Velocidad 1
0.10167,0.198,14,Velocidad 1
0.10333,0.199,14,Velocidad 1
0.105,0.205,15,Velocidad 1
0.10667,0.206,15,Velocidad 1
0.10833,0.211,15,Velocidad 1
0.11,0.215,15,Velocidad 1
0.11167,0.216,16,Velocidad 1
0.11333,0.22,16,Velocidad 1
0.115,0.223,16,Velocidad 1
0.11667,0.229,16,Velocidad 1
0.11833,0.23,16,Velocidad 1
0.12,0.235,16,Velocidad 1
0.12167,0.236,16,Velocidad 1
0.12333,0.242,17,Velocidad 1
0.125,0.245,17,Velocidad 1
0.12667,0.247,16,Velocidad 1
0.12833,0.252,17,Velocidad 1
0.13,0.254,17,Velocidad 1
0.13167,0.259,17,Velocidad 1
0.13333,0.262,17,Velocidad 1
0.135,0.265,17,Velocidad 1
0.13667,0.268,17,Velocidad 1
0.13833,0.271,18,Velocidad 1
0.14,0.275,20,Velocidad 1
0.14167,0.279,23,Velocidad 1
0.14333,0.282,25,Velocidad 1
0.145,0.285,28,Velocidad 1
0.14667,0.288,31,Velocidad 1
0.14833,0.29,35,Velocidad 1
0.15,0.295,38,Velocidad 1
0.15167,0.297,41,Velocidad 1
0.15333,0.301,44,Velocidad 1
0.155,0.306,46,Velocidad 1
0.15667,0.308,48,Velocidad 1
0.15833,0.312,49,Velocidad 1
0.16,0.315,50,Velocidad 1
0.16167,0.316,51,Velocidad 1
0.16333,0.32,52,Velocidad 1
0.165,0.323,54,Velocidad 1
0.16667,0.326,55,Velocidad 1
0.16833,0.331,57,Velocidad 1
0.17,0.334,58,Velocidad 1
0.17167,0.338,60,Velocidad 1
0.17333,0.342,62,Velocidad 1
0.175,0.345,64,Velocidad 1
0.17667,0.348,65,Velocidad 1
0.17833,0.351,67,Velocidad 1
0.18,0.354,69,Velocidad 1
0.18167,0.359,71,Velocidad 1
0.18333,0.36,73,Velocidad 1
0.185,0.366,75,Velocidad 1
0.18667,0.368,77,Velocidad 1
0.18833,0.371,80,Velocidad 1
0.19,0.373,83,Velocidad 1
0.19167,0.378,86,Velocidad 1
0.19333,0.383,89,Velocidad 1
0.195,0.385,93,Velocidad 1
0.19667,0.388,96,Velocidad 1
0.19833,0.39,100,Velocidad 1
0.2,0.394,104,Velocidad 1
0.20167,0.398,108,Velocidad 1
0.20333,0.402,112,Velocidad 1
0.205,0.405,116,Velocidad 1
0.20667,0.409,120,Velocidad 1
0.20833,0.41,124,Velocidad 1
0.21,0.414,128,Velocidad 1
0.21167,0.417,132,Velocidad 1
0.21333,0.422,137,Velocidad 1
0.215,0.422,141,Velocidad 1
0.21667,0.429,146,Velocidad 1
0.21833,0.431,151,Velocidad 1
0.22,0.435,157,Velocidad 1
0.22167,0.437,162,Velocidad 1
0.22333,0.441,166,Velocidad 1
0.225,0.445,171,Velocidad 1
0.22667,0.446,176,Velocidad 1
0.22833,0.451,183,Velocidad 1
0.23,0.454,188,Velocidad 1
0.23167,0.457,193,Velocidad 1
0.23333,0.46,199,Velocidad 1
0.235,0.465,204,Velocidad 1
0.23667,0.468,210,Velocidad 1
0.23833,0.469,217,Velocidad 1
0.24,0.474,224,Velocidad 1
0.24167,0.478,230,Velocidad 1
0.24333,0.481,236,Velocidad 1
0.245,0.486,244,Velocidad 1
0.24667,0.486,250,Velocidad 1
0.24833,0.492,257,Velocidad 1
0.25,0.495,264,Velocidad 1
0.25167,0.498,271,Velocidad 1
0.25333,0.501,278,Velocidad 1
0.255,0.505,286,Velocidad 1
0.25667,0.508,292,Velocidad 1
0.25833,0.509,300,Velocidad 1
0.26,0.516,308,Velocidad 1
0.26167,0.517,315,Velocidad 1
0.26333,0.522,324,Velocidad 1
0.265,0.525,331,Velocidad 1
0.26667,0.528,340,Velocidad 1
0.26833,0.531,347,Velocidad 1
0.27,0.535,355,Velocidad 1
0.27167,0.537,364,Velocidad 1
0.27333,0.542,372,Velocidad 1
0.275,0.543,380,Velocidad 1
0.27667,0.546,389,Velocidad 1
0.27833,0.549,397,Velocidad 1
0.28,0.555,406,Velocidad 1
0.28167,0.559,414,Velocidad 1
0.28333,0.563,423,Velocidad 1
0.285,0.563,431,Velocidad 1
0.28667,0.565,439,Velocidad 1
0.28833,0.572,449,Velocidad 1
0.29,0.575,459,Velocidad 1
0.29167,0.577,468,Velocidad 1
0.29333,0.58,478,Velocidad 1
0.295,0.582,487,Velocidad 1
0.29667,0.587,498,Velocidad 1
0.29833,0.589,507,Velocidad 1
0.3,0.595,516,Velocidad 1
0.30167,0.599,527,Velocidad 1
