English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 01 Jun 2016 14:51:46
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0.001,0,Velocidad 1
0.00333,0.001,0,Velocidad 1
0.005,0.004,0,Velocidad 1
0.00667,0.007,1,Velocidad 1
0.00833,0.011,1,Velocidad 1
0.01,0.013,1,Velocidad 1
0.01167,0.019,1,Velocidad 1
0.01333,0.022,1,Velocidad 1
0.015,0.024,1,Velocidad 1
0.01667,0.028,1,Velocidad 1
0.01833,0.031,1,Velocidad 1
0.02,0.035,1,Velocidad 1
0.02167,0.038,1,Velocidad 1
0.02333,0.039,1,Velocidad 1
0.025,0.044,2,Velocidad 1
0.02667,0.048,1,Velocidad 1
0.02833,0.051,2,Velocidad 1
0.03,0.056,2,Velocidad 1
0.03167,0.058,2,Velocidad 1
0.03333,0.062,2,Velocidad 1
0.035,0.065,2,Velocidad 1
0.03667,0.07,2,Velocidad 1
0.03833,0.072,2,Velocidad 1
0.04,0.076,2,Velocidad 1
0.04167,0.079,2,Velocidad 1
0.04333,0.081,2,Velocidad 1
0.045,0.085,2,Velocidad 1
0.04667,0.088,2,Velocidad 1
0.04833,0.092,3,Velocidad 1
0.05,0.096,3,Velocidad 1
0.05167,0.097,4,Velocidad 1
0.05333,0.1,4,Velocidad 1
0.055,0.104,4,Velocidad 1
0.05667,0.109,5,Velocidad 1
0.05833,0.112,5,Velocidad 1
0.06,0.116,5,Velocidad 1
0.06167,0.12,5,Velocidad 1
0.06333,0.121,6,Velocidad 1
0.065,0.126,6,Velocidad 1
0.06667,0.128,6,Velocidad 1
0.06833,0.133,6,Velocidad 1
0.07,0.134,7,Velocidad 1
0.07167,0.137,7,Velocidad 1
0.07333,0.142,8,Velocidad 1
0.075,0.142,8,Velocidad 1
0.07667,0.148,8,Velocidad 1
0.07833,0.153,8,Velocidad 1
0.08,0.155,9,Velocidad 1
0.08167,0.159,9,Velocidad 1
0.08333,0.161,9,Velocidad 1
0.085,0.166,9,Velocidad 1
0.08667,0.169,9,Velocidad 1
0.08833,0.172,9,Velocidad 1
