English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 01 Jun 2016 15:02:37
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0,0,Velocidad 1
0.00333,0.001,0,Velocidad 1
0.005,0.004,0,Velocidad 1
0.00667,0.005,0,Velocidad 1
0.00833,0.01,0,Velocidad 1
0.01,0.015,0,Velocidad 1
0.01167,0.018,0,Velocidad 1
0.01333,0.021,0,Velocidad 1
0.015,0.024,0,Velocidad 1
0.01667,0.029,1,Velocidad 1
0.01833,0.031,1,Velocidad 1
0.02,0.033,2,Velocidad 1
0.02167,0.036,3,Velocidad 1
0.02333,0.042,4,Velocidad 1
0.025,0.044,5,Velocidad 1
0.02667,0.047,5,Velocidad 1
0.02833,0.051,6,Velocidad 1
0.03,0.056,7,Velocidad 1
0.03167,0.058,7,Velocidad 1
0.03333,0.061,8,Velocidad 1
0.035,0.064,9,Velocidad 1
0.03667,0.069,9,Velocidad 1
0.03833,0.072,10,Velocidad 1
0.04,0.075,10,Velocidad 1
0.04167,0.079,10,Velocidad 1
0.04333,0.08,11,Velocidad 1
0.045,0.085,11,Velocidad 1
0.04667,0.087,11,Velocidad 1
0.04833,0.092,11,Velocidad 1
0.05,0.093,12,Velocidad 1
0.05167,0.1,12,Velocidad 1
0.05333,0.101,12,Velocidad 1
0.055,0.104,12,Velocidad 1
0.05667,0.107,12,Velocidad 1
0.05833,0.111,13,Velocidad 1
0.06,0.114,13,Velocidad 1
0.06167,0.118,13,Velocidad 1
0.06333,0.122,14,Velocidad 1
0.065,0.122,15,Velocidad 1
0.06667,0.128,17,Velocidad 1
0.06833,0.131,18,Velocidad 1
0.07,0.133,21,Velocidad 1
0.07167,0.138,24,Velocidad 1
0.07333,0.143,26,Velocidad 1
0.075,0.144,29,Velocidad 1
0.07667,0.148,32,Velocidad 1
0.07833,0.149,35,Velocidad 1
0.08,0.153,39,Velocidad 1
0.08167,0.156,43,Velocidad 1
0.08333,0.162,46,Velocidad 1
0.085,0.163,50,Velocidad 1
0.08667,0.168,54,Velocidad 1
0.08833,0.169,57,Velocidad 1
0.09,0.174,61,Velocidad 1
0.09167,0.175,64,Velocidad 1
0.09333,0.181,68,Velocidad 1
0.095,0.183,72,Velocidad 1
0.09667,0.188,76,Velocidad 1
0.09833,0.192,80,Velocidad 1
0.1,0.195,84,Velocidad 1
0.10167,0.199,89,Velocidad 1
0.10333,0.202,93,Velocidad 1
0.105,0.205,97,Velocidad 1
0.10667,0.206,102,Velocidad 1
0.10833,0.212,106,Velocidad 1
0.11,0.213,111,Velocidad 1
0.11167,0.219,116,Velocidad 1
0.11333,0.222,121,Velocidad 1
0.115,0.225,126,Velocidad 1
0.11667,0.228,131,Velocidad 1
0.11833,0.231,137,Velocidad 1
0.12,0.235,143,Velocidad 1
0.12167,0.239,148,Velocidad 1
0.12333,0.242,154,Velocidad 1
0.125,0.245,160,Velocidad 1
