English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 01 Jun 2016 15:09:46
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0.003,0,Velocidad 1
0.00333,0.002,0,Velocidad 1
0.005,0.007,0,Velocidad 1
0.00667,0.01,0,Velocidad 1
0.00833,0.012,0,Velocidad 1
0.01,0.017,0,Velocidad 1
0.01167,0.019,0,Velocidad 1
0.01333,0.023,0,Velocidad 1
0.015,0.029,0,Velocidad 1
0.01667,0.03,0,Velocidad 1
0.01833,0.034,0,Velocidad 1
0.02,0.037,0,Velocidad 1
0.02167,0.041,0,Velocidad 1
0.02333,0.042,0,Velocidad 1
0.025,0.047,0,Velocidad 1
0.02667,0.051,0,Velocidad 1
0.02833,0.054,0,Velocidad 1
0.03,0.058,0,Velocidad 1
0.03167,0.058,0,Velocidad 1
0.03333,0.064,0,Velocidad 1
0.035,0.067,0,Velocidad 1
0.03667,0.071,0,Velocidad 1
0.03833,0.073,0,Velocidad 1
0.04,0.078,0,Velocidad 1
0.04167,0.082,0,Velocidad 1
0.04333,0.083,0,Velocidad 1
0.045,0.086,0,Velocidad 1
0.04667,0.091,0,Velocidad 1
0.04833,0.095,0,Velocidad 1
0.05,0.098,0,Velocidad 1
0.05167,0.101,0,Velocidad 1
0.05333,0.104,0,Velocidad 1
0.055,0.108,0,Velocidad 1
0.05667,0.11,0,Velocidad 1
0.05833,0.112,0,Velocidad 1
0.06,0.118,0,Velocidad 1
0.06167,0.121,0,Velocidad 1
0.06333,0.123,0,Velocidad 1
0.065,0.127,0,Velocidad 1
0.06667,0.131,0,Velocidad 1
0.06833,0.134,0,Velocidad 1
0.07,0.138,0,Velocidad 1
0.07167,0.14,0,Velocidad 1
0.07333,0.143,0,Velocidad 1
0.075,0.148,0,Velocidad 1
0.07667,0.151,0,Velocidad 1
0.07833,0.153,0,Velocidad 1
0.08,0.157,0,Velocidad 1
0.08167,0.161,0,Velocidad 1
0.08333,0.163,0,Velocidad 1
