English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 16 Dec 2015 15:37:09
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0.001,0,Velocidad 1
0.00333,-0.002,0,Velocidad 1
0.005,-0.001,0,Velocidad 1
0.00667,0,0,Velocidad 1
0.00833,0.003,1,Velocidad 1
0.01,0.004,1,Velocidad 1
0.01167,0.003,2,Velocidad 1
0.01333,0.006,2,Velocidad 1
0.015,0.005,2,Velocidad 1
0.01667,0.005,3,Velocidad 1
0.01833,0.007,3,Velocidad 1
0.02,0.009,3,Velocidad 1
0.02167,0.011,3,Velocidad 1
0.02333,0.009,3,Velocidad 1
0.025,0.011,4,Velocidad 1
0.02667,0.01,4,Velocidad 1
0.02833,0.013,4,Velocidad 1
0.03,0.012,4,Velocidad 1
0.03167,0.013,4,Velocidad 1
0.03333,0.016,4,Velocidad 1
0.035,0.015,4,Velocidad 1
0.03667,0.016,4,Velocidad 1
0.03833,0.019,4,Velocidad 1
0.04,0.016,5,Velocidad 1
0.04167,0.02,5,Velocidad 1
0.04333,0.019,5,Velocidad 1
0.045,0.021,5,Velocidad 1
0.04667,0.022,5,Velocidad 1
0.04833,0.023,5,Velocidad 1
0.05,0.024,6,Velocidad 1
0.05167,0.025,6,Velocidad 1
0.05333,0.023,6,Velocidad 1
0.055,0.025,7,Velocidad 1
0.05667,0.026,8,Velocidad 1
0.05833,0.028,8,Velocidad 1
0.06,0.029,9,Velocidad 1
0.06167,0.03,9,Velocidad 1
0.06333,0.029,10,Velocidad 1
0.065,0.03,11,Velocidad 1
0.06667,0.033,12,Velocidad 1
0.06833,0.033,13,Velocidad 1
0.07,0.034,13,Velocidad 1
0.07167,0.035,14,Velocidad 1
0.07333,0.034,15,Velocidad 1
0.075,0.037,16,Velocidad 1
0.07667,0.036,18,Velocidad 1
0.07833,0.036,19,Velocidad 1
0.08,0.04,20,Velocidad 1
0.08167,0.038,21,Velocidad 1
0.08333,0.041,22,Velocidad 1
0.085,0.042,24,Velocidad 1
0.08667,0.04,25,Velocidad 1
0.08833,0.042,26,Velocidad 1
0.09,0.041,27,Velocidad 1
0.09167,0.045,29,Velocidad 1
0.09333,0.046,30,Velocidad 1
0.095,0.047,32,Velocidad 1
0.09667,0.046,33,Velocidad 1
0.09833,0.048,35,Velocidad 1
0.1,0.049,36,Velocidad 1
0.10167,0.049,37,Velocidad 1
0.10333,0.051,39,Velocidad 1
0.105,0.051,40,Velocidad 1
0.10667,0.051,42,Velocidad 1
0.10833,0.051,43,Velocidad 1
0.11,0.053,45,Velocidad 1
0.11167,0.055,47,Velocidad 1
0.11333,0.056,48,Velocidad 1
0.115,0.055,50,Velocidad 1
0.11667,0.057,52,Velocidad 1
0.11833,0.057,53,Velocidad 1
0.12,0.058,55,Velocidad 1
0.12167,0.057,57,Velocidad 1
0.12333,0.061,58,Velocidad 1
0.125,0.06,60,Velocidad 1
0.12667,0.063,61,Velocidad 1
0.12833,0.063,63,Velocidad 1
0.13,0.063,64,Velocidad 1
0.13167,0.063,67,Velocidad 1
0.13333,0.064,69,Velocidad 1
0.135,0.065,70,Velocidad 1
0.13667,0.065,72,Velocidad 1
0.13833,0.068,74,Velocidad 1
0.14,0.069,75,Velocidad 1
0.14167,0.07,77,Velocidad 1
0.14333,0.069,78,Velocidad 1
0.145,0.072,80,Velocidad 1
0.14667,0.071,82,Velocidad 1
0.14833,0.073,84,Velocidad 1
0.15,0.075,85,Velocidad 1
0.15167,0.073,87,Velocidad 1
0.15333,0.074,89,Velocidad 1
0.155,0.077,91,Velocidad 1
0.15667,0.077,93,Velocidad 1
0.15833,0.078,94,Velocidad 1
0.16,0.079,97,Velocidad 1
0.16167,0.079,99,Velocidad 1
0.16333,0.08,101,Velocidad 1
0.165,0.081,103,Velocidad 1
0.16667,0.083,103,Velocidad 1
0.16833,0.083,106,Velocidad 1
0.17,0.085,108,Velocidad 1
0.17167,0.085,110,Velocidad 1
0.17333,0.086,111,Velocidad 1
0.175,0.086,114,Velocidad 1
0.17667,0.085,115,Velocidad 1
0.17833,0.089,117,Velocidad 1
0.18,0.087,119,Velocidad 1
0.18167,0.09,121,Velocidad 1
0.18333,0.091,124,Velocidad 1
0.185,0.09,125,Velocidad 1
0.18667,0.09,127,Velocidad 1
0.18833,0.093,130,Velocidad 1
0.19,0.093,133,Velocidad 1
0.19167,0.092,134,Velocidad 1
0.19333,0.094,136,Velocidad 1
0.195,0.097,138,Velocidad 1
0.19667,0.097,140,Velocidad 1
0.19833,0.099,142,Velocidad 1
0.2,0.097,144,Velocidad 1
