English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Wed 16 Dec 2015 16:13:47
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00167,0,0,Velocidad 1
0.00333,0.001,0,Velocidad 1
0.005,0.002,0,Velocidad 1
0.00667,0.004,1,Velocidad 1
0.00833,0.004,1,Velocidad 1
0.01,0.004,1,Velocidad 1
0.01167,0.007,1,Velocidad 1
0.01333,0.006,1,Velocidad 1
0.015,0.006,1,Velocidad 1
0.01667,0.008,1,Velocidad 1
0.01833,0.01,1,Velocidad 1
0.02,0.01,1,Velocidad 1
0.02167,0.012,1,Velocidad 1
0.02333,0.013,1,Velocidad 1
0.025,0.013,1,Velocidad 1
0.02667,0.012,1,Velocidad 1
0.02833,0.015,1,Velocidad 1
0.03,0.016,1,Velocidad 1
0.03167,0.017,1,Velocidad 1
0.03333,0.015,1,Velocidad 1
0.035,0.016,1,Velocidad 1
0.03667,0.018,1,Velocidad 1
0.03833,0.017,1,Velocidad 1
0.04,0.021,1,Velocidad 1
0.04167,0.021,1,Velocidad 1
0.04333,0.021,1,Velocidad 1
0.045,0.024,1,Velocidad 1
0.04667,0.024,1,Velocidad 1
0.04833,0.023,1,Velocidad 1
0.05,0.024,1,Velocidad 1
0.05167,0.026,1,Velocidad 1
0.05333,0.026,1,Velocidad 1
0.055,0.027,1,Velocidad 1
0.05667,0.029,1,Velocidad 1
0.05833,0.028,1,Velocidad 1
0.06,0.031,1,Velocidad 1
0.06167,0.03,1,Velocidad 1
0.06333,0.033,1,Velocidad 1
0.065,0.032,1,Velocidad 1
0.06667,0.033,1,Velocidad 1
0.06833,0.034,1,Velocidad 1
0.07,0.034,1,Velocidad 1
0.07167,0.034,1,Velocidad 1
0.07333,0.037,1,Velocidad 1
0.075,0.039,1,Velocidad 1
0.07667,0.04,1,Velocidad 1
0.07833,0.04,1,Velocidad 1
0.08,0.04,1,Velocidad 1
0.08167,0.042,1,Velocidad 1
0.08333,0.042,2,Velocidad 1
0.085,0.041,2,Velocidad 1
0.08667,0.045,2,Velocidad 1
0.08833,0.045,3,Velocidad 1
0.09,0.044,3,Velocidad 1
0.09167,0.047,4,Velocidad 1
0.09333,0.046,5,Velocidad 1
0.095,0.047,6,Velocidad 1
0.09667,0.049,6,Velocidad 1
0.09833,0.051,7,Velocidad 1
0.1,0.051,8,Velocidad 1
0.10167,0.052,9,Velocidad 1
0.10333,0.052,10,Velocidad 1
0.105,0.054,10,Velocidad 1
0.10667,0.052,11,Velocidad 1
0.10833,0.054,12,Velocidad 1
0.11,0.055,12,Velocidad 1
0.11167,0.057,13,Velocidad 1
0.11333,0.057,13,Velocidad 1
0.115,0.058,14,Velocidad 1
0.11667,0.059,14,Velocidad 1
0.11833,0.06,15,Velocidad 1
0.12,0.061,15,Velocidad 1
0.12167,0.06,16,Velocidad 1
0.12333,0.063,16,Velocidad 1
0.125,0.064,17,Velocidad 1
0.12667,0.064,17,Velocidad 1
0.12833,0.064,18,Velocidad 1
0.13,0.065,18,Velocidad 1
0.13167,0.066,19,Velocidad 1
0.13333,0.068,20,Velocidad 1
0.135,0.068,21,Velocidad 1
0.13667,0.068,21,Velocidad 1
0.13833,0.071,22,Velocidad 1
0.14,0.069,23,Velocidad 1
0.14167,0.07,24,Velocidad 1
0.14333,0.072,25,Velocidad 1
0.145,0.074,26,Velocidad 1
0.14667,0.074,27,Velocidad 1
0.14833,0.075,28,Velocidad 1
0.15,0.076,29,Velocidad 1
0.15167,0.074,30,Velocidad 1
0.15333,0.078,32,Velocidad 1
0.155,0.078,33,Velocidad 1
0.15667,0.08,35,Velocidad 1
0.15833,0.08,36,Velocidad 1
0.16,0.081,38,Velocidad 1
0.16167,0.082,39,Velocidad 1
0.16333,0.081,40,Velocidad 1
0.165,0.084,42,Velocidad 1
0.16667,0.083,44,Velocidad 1
0.16833,0.084,45,Velocidad 1
0.17,0.086,47,Velocidad 1
0.17167,0.088,49,Velocidad 1
0.17333,0.086,51,Velocidad 1
0.175,0.089,53,Velocidad 1
0.17667,0.091,54,Velocidad 1
0.17833,0.09,56,Velocidad 1
0.18,0.09,57,Velocidad 1
0.18167,0.093,59,Velocidad 1
0.18333,0.093,62,Velocidad 1
0.185,0.092,64,Velocidad 1
0.18667,0.093,66,Velocidad 1
0.18833,0.096,68,Velocidad 1
0.19,0.095,69,Velocidad 1
0.19167,0.095,71,Velocidad 1
0.19333,0.097,74,Velocidad 1
0.195,0.099,76,Velocidad 1
0.19667,0.1,78,Velocidad 1
0.19833,0.1,80,Velocidad 1
0.2,0.1,82,Velocidad 1
0.20167,0.1,84,Velocidad 1
0.20333,0.103,86,Velocidad 1
0.205,0.103,89,Velocidad 1
0.20667,0.103,91,Velocidad 1
0.20833,0.104,93,Velocidad 1
0.21,0.105,95,Velocidad 1
0.21167,0.105,97,Velocidad 1
0.21333,0.108,100,Velocidad 1
0.215,0.106,102,Velocidad 1
0.21667,0.108,105,Velocidad 1
0.21833,0.11,107,Velocidad 1
0.22,0.11,108,Velocidad 1
0.22167,0.112,111,Velocidad 1
0.22333,0.111,113,Velocidad 1
0.225,0.114,115,Velocidad 1
0.22667,0.113,118,Velocidad 1
0.22833,0.115,120,Velocidad 1
0.23,0.117,122,Velocidad 1
0.23167,0.117,124,Velocidad 1
0.23333,0.115,128,Velocidad 1
0.235,0.121,131,Velocidad 1
0.23667,0.12,133,Velocidad 1
0.23833,0.12,136,Velocidad 1
0.24,0.121,138,Velocidad 1
0.24167,0.119,140,Velocidad 1
0.24333,0.124,143,Velocidad 1
0.245,0.121,147,Velocidad 1
0.24667,0.124,149,Velocidad 1
0.24833,0.126,152,Velocidad 1
0.25,0.124,154,Velocidad 1
0.25167,0.125,157,Velocidad 1
0.25333,0.128,160,Velocidad 1
0.255,0.127,164,Velocidad 1
0.25667,0.128,166,Velocidad 1
0.25833,0.131,169,Velocidad 1
0.26,0.13,171,Velocidad 1
0.26167,0.13,174,Velocidad 1
0.26333,0.133,177,Velocidad 1
0.265,0.134,179,Velocidad 1
0.26667,0.135,181,Velocidad 1
0.26833,0.134,185,Velocidad 1
0.27,0.135,188,Velocidad 1
0.27167,0.136,192,Velocidad 1
0.27333,0.136,194,Velocidad 1
0.275,0.138,197,Velocidad 1
0.27667,0.14,199,Velocidad 1
0.27833,0.138,201,Velocidad 1
0.28,0.141,205,Velocidad 1
0.28167,0.14,208,Velocidad 1
0.28333,0.141,212,Velocidad 1
0.285,0.142,215,Velocidad 1
0.28667,0.144,217,Velocidad 1
0.28833,0.143,220,Velocidad 1
0.29,0.146,225,Velocidad 1
0.29167,0.148,227,Velocidad 1
0.29333,0.146,229,Velocidad 1
0.295,0.147,233,Velocidad 1
0.29667,0.148,236,Velocidad 1
0.29833,0.15,239,Velocidad 1
0.3,0.149,242,Velocidad 1
0.30167,0.151,245,Velocidad 1
0.30333,0.153,248,Velocidad 1
0.305,0.154,252,Velocidad 1
0.30667,0.152,256,Velocidad 1
0.30833,0.155,259,Velocidad 1
0.31,0.156,262,Velocidad 1
0.31167,0.154,266,Velocidad 1
0.31333,0.157,268,Velocidad 1
0.315,0.159,272,Velocidad 1
0.31667,0.16,275,Velocidad 1
0.31833,0.158,278,Velocidad 1
0.32,0.16,282,Velocidad 1
0.32167,0.16,286,Velocidad 1
0.32333,0.162,291,Velocidad 1
0.325,0.162,294,Velocidad 1
0.32667,0.164,297,Velocidad 1
0.32833,0.166,301,Velocidad 1
0.33,0.165,304,Velocidad 1
0.33167,0.168,309,Velocidad 1
0.33333,0.167,312,Velocidad 1
0.335,0.169,316,Velocidad 1
0.33667,0.17,319,Velocidad 1
0.33833,0.171,324,Velocidad 1
0.34,0.171,329,Velocidad 1
0.34167,0.171,331,Velocidad 1
0.34333,0.173,336,Velocidad 1
0.345,0.174,340,Velocidad 1
0.34667,0.173,344,Velocidad 1
0.34833,0.175,347,Velocidad 1
0.35,0.176,350,Velocidad 1
0.35167,0.175,354,Velocidad 1
0.35333,0.177,358,Velocidad 1
0.355,0.179,363,Velocidad 1
0.35667,0.179,366,Velocidad 1
0.35833,0.181,370,Velocidad 1
0.36,0.181,375,Velocidad 1
0.36167,0.18,380,Velocidad 1
0.36333,0.181,384,Velocidad 1
0.365,0.182,388,Velocidad 1
0.36667,0.182,391,Velocidad 1
0.36833,0.185,395,Velocidad 1
0.37,0.184,398,Velocidad 1
0.37167,0.187,401,Velocidad 1
0.37333,0.188,405,Velocidad 1
0.375,0.187,411,Velocidad 1
0.37667,0.189,416,Velocidad 1
0.37833,0.191,421,Velocidad 1
0.38,0.191,425,Velocidad 1
0.38167,0.19,431,Velocidad 1
0.38333,0.19,435,Velocidad 1
0.385,0.195,438,Velocidad 1
0.38667,0.194,442,Velocidad 1
0.38833,0.196,445,Velocidad 1
0.39,0.193,451,Velocidad 1
0.39167,0.197,456,Velocidad 1
0.39333,0.198,459,Velocidad 1
0.395,0.197,463,Velocidad 1
