English Unit Abbreviations=Time ( min ),Position ( mm ),Load ( kg ),Zona
Archivo de punto de datos de Partner
Inicio del ensayo Thu 21 Jul 2016 14:55:43
Tiempo ( min ),Posición ( mm ),Carga ( kg ),Zona
0,0,0,Velocidad 1
0.00083,0,0,Velocidad 1
0.00167,0.002,1,Velocidad 1
0.0025,0,2,Velocidad 1
0.00333,0.002,1,Velocidad 1
0.00417,0.002,0,Velocidad 1
0.005,0.002,0,Velocidad 1
0.00583,0,-1,Velocidad 1
0.00667,0,-1,Velocidad 1
0.0075,0.002,2,Velocidad 1
0.00833,0.003,6,Velocidad 1
0.00917,0.003,10,Velocidad 1
0.01,0.003,14,Velocidad 1
0.01083,0.002,18,Velocidad 1
0.01167,0.002,23,Velocidad 1
0.0125,0.004,27,Velocidad 1
0.01333,0.003,32,Velocidad 1
0.01417,0.003,35,Velocidad 1
0.015,0.004,37,Velocidad 1
0.01583,0.003,38,Velocidad 1
0.01667,0.003,41,Velocidad 1
0.0175,0.005,45,Velocidad 1
0.01833,0.003,48,Velocidad 1
0.01917,0.005,50,Velocidad 1
0.02,0.003,53,Velocidad 1
0.02083,0.004,55,Velocidad 1
0.02167,0.005,58,Velocidad 1
0.0225,0.006,61,Velocidad 1
0.02333,0.004,64,Velocidad 1
0.02417,0.005,66,Velocidad 1
0.025,0.005,69,Velocidad 1
0.02583,0.004,72,Velocidad 1
0.02667,0.006,76,Velocidad 1
0.0275,0.007,80,Velocidad 1
0.02833,0.005,82,Velocidad 1
0.02917,0.006,85,Velocidad 1
0.03,0.006,88,Velocidad 1
0.03083,0.006,90,Velocidad 1
0.03167,0.007,91,Velocidad 1
0.0325,0.006,93,Velocidad 1
0.03333,0.007,97,Velocidad 1
0.03417,0.008,101,Velocidad 1
0.035,0.007,103,Velocidad 1
0.03583,0.008,105,Velocidad 1
0.03667,0.007,108,Velocidad 1
0.0375,0.009,110,Velocidad 1
0.03833,0.011,113,Velocidad 1
0.03917,0.007,117,Velocidad 1
0.04,0.008,118,Velocidad 1
0.04083,0.01,121,Velocidad 1
